short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Grimes,Matt Grimes,"CM, CDM",73,3200000.0,23000.0,27,Swansea City,Championship
J. Paterson,Jamie Paterson,"LW, LM, CM",72,1900000.0,23000.0,31,Swansea City,Championship
B. Cabango,Benjamin Cabango,CB,71,3500000.0,14000.0,23,Swansea City,Championship
J. Yates,Jerry Yates,ST,71,2400000.0,20000.0,26,Swansea City,Championship
J. Fulton,Jay Fulton,"CDM, CM",71,1600000.0,18000.0,29,Swansea City,Championship
H. Darling,Harry Jack Darling,CB,70,3000000.0,13000.0,23,Swansea City,Championship
J. Ginnelly,Joshua Lloyd Ginnelly,"ST, RM, LM",70,1900000.0,17000.0,26,Swansea City,Championship
J. Lowe,Jamal Lowe,"ST, LM, RM",70,1600000.0,27000.0,28,Swansea City,Championship
J. Allen,Joseph Michael Allen,"CDM, CM",69,700000.0,12000.0,33,Swansea City,Championship
K. Naughton,Kyle Naughton,"CB, RB",69,450000.0,12000.0,34,Swansea City,Championship
K. Pedersen,Kristian Pedersen,"LB, CB",69,1300000.0,13000.0,28,Swansea City,Championship
C. Patino,Charlie Patino,"CM, CDM",68,3100000.0,18000.0,19,Swansea City,Championship
N. Wood,Nathan Wood-Gordon,CB,68,2800000.0,8000.0,21,Swansea City,Championship
C. Rushworth,Carl Rushworth,GK,68,2300000.0,13000.0,21,Swansea City,Championship
A. Fisher,Andrew Lee Fisher,GK,68,1500000.0,8000.0,25,Swansea City,Championship
J. Tymon,Josh Tymon,"LB, LWB",68,1600000.0,9000.0,24,Swansea City,Championship
O. Cooper,Oliver Cooper,"LW, CM, CAM",67,2300000.0,9000.0,23,Swansea City,Championship
L. Cullen,Liam Cullen,"ST, RM",67,1600000.0,9000.0,24,Swansea City,Championship
L. Walsh,Liam Walsh,"CM, CDM",67,1300000.0,9000.0,25,Swansea City,Championship
N. Ogbeta,Nathanael Ogbeta,"LWB, LB",66,1800000.0,7000.0,22,Swansea City,Championship
J. Key,Joshua Myles Abraham Key,"RWB, CB",66,1300000.0,7000.0,23,Swansea City,Championship
B. Humphreys,Bashir Humphreys,CB,65,1600000.0,13000.0,20,Swansea City,Championship
N. Tjoe-A-On,Nathan Tjoe-A-On,LB,64,1300000.0,4000.0,21,Swansea City,Championship
M. Kuharevych,Mykola Kukharevych,ST,64,1300000.0,6000.0,22,Swansea City,Championship
H. Ashby,Harrison Ashby,"RWB, RB",63,1000000.0,11000.0,21,Swansea City,Championship
A. Abdulai,Azeem Abdulai,"CDM, CM, LWB",60,550000.0,3000.0,20,Swansea City,Championship
N. Broome,Nathan Broome,GK,57,325000.0,2000.0,21,Swansea City,Championship
F. Lissah,Filip Lissah,"CB, RB",55,300000.0,1000.0,18,Swansea City,Championship
C. Congreve,Cameron Congreve,"CM, RW, LWB",55,325000.0,2000.0,19,Swansea City,Championship
L. Webb,Lewis Webb,GK,55,250000.0,2000.0,21,Swansea City,Championship
