short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Austin,Charlie Austin,ST,65,450000.0,4000.0,33,Swindon Town,League Two
R. Hutton,Remeao Andrew Hutton,"RWB, RB",64,775000.0,3000.0,24,Swindon Town,League Two
F. Blake-Tracy,Frazer John Blake-Tracy,"CB, LB",64,550000.0,3000.0,27,Swindon Town,League Two
G. McEachran,George McEachran,"CM, CDM, CAM",63,775000.0,3000.0,22,Swindon Town,League Two
D. Kemp,Daniel Harry Kemp,"CAM, CM",63,725000.0,4000.0,24,Swindon Town,League Two
T. Uwakwe,Tariq Uwakwe,"LWB, LB, CDM",62,600000.0,2000.0,23,Swindon Town,League Two
J. Cain,Jake Cain,"CM, CDM",62,625000.0,2000.0,21,Swindon Town,League Two
U. Godwin-Malife,Udoka Favour Godwin-Malife,"CB, RB",62,525000.0,2000.0,23,Swindon Town,League Two
L. Kinsella,Liam Mark Kinsella,CM,62,450000.0,3000.0,27,Swindon Town,League Two
S. Khan,Saidou Khan,"CDM, CM",62,400000.0,2000.0,27,Swindon Town,League Two
T. Brewitt,Tom Brewitt,CB,62,375000.0,2000.0,26,Swindon Town,League Two
J. Young,Jake Alan Young,ST,61,525000.0,3000.0,21,Swindon Town,League Two
T. Clayton,Thomas Clayton,CB,61,425000.0,2000.0,22,Swindon Town,League Two
R. Hepburn-Murphy,Rushian Marcus Amari Hepburn-Murphy,"ST, RW",61,450000.0,2000.0,24,Swindon Town,League Two
T. Shade,Tyrese Shade,"RW, LWB",60,375000.0,2000.0,23,Swindon Town,League Two
L. Ward,Lewis Moore Ward,GK,60,220000.0,2000.0,26,Swindon Town,League Two
R. Devine,Reece Devine,"LWB, LB",59,350000.0,1000.0,21,Swindon Town,League Two
M. Mahoney,Murphy Mahoney,GK,58,400000.0,1000.0,21,Swindon Town,League Two
B. Ward,Benn Ward,"CB, LWB, CDM",57,375000.0,3000.0,19,Swindon Town,League Two
B. Genesini,Brooklyn Genesini,"RWB, LWB, RB",57,350000.0,1000.0,21,Swindon Town,League Two
H. Minturn,Harrison Minturn,CB,57,300000.0,1000.0,19,Swindon Town,League Two
H. Fox,Harvey Fox,LWB,52,160000.0,550.0,18,Swindon Town,League Two
A. Kanu,Abu Kanu,"CAM, ST",52,150000.0,500.0,17,Swindon Town,League Two
C. Brann,Conor Brann,GK,52,100000.0,1000.0,20,Swindon Town,League Two
J. Keyes,Josh Keyes,CM,51,130000.0,500.0,17,Swindon Town,League Two
