short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Masiello,Andrea Masiello,CB,71,325000.0,2000.0,37,Südtirol,Serie B
G. Poluzzi,Giacomo Poluzzi,GK,71,210000.0,1000.0,35,Südtirol,Serie B
F. Tait,Fabian Tait,CM,69,1300000.0,2000.0,30,Südtirol,Serie B
R. Odogwu,Raphael Odogwu,ST,69,1100000.0,2000.0,32,Südtirol,Serie B
D. Casiraghi,Daniele Casiraghi,"LM, ST",68,1200000.0,2000.0,30,Südtirol,Serie B
N. Rauti,Nicola Rauti,"ST, CF",67,2300000.0,13000.0,23,Südtirol,Serie B
D. Peeters,Daouda Peeters,"CDM, CM",67,1900000.0,1000.0,24,Südtirol,Serie B
M. Rover,Matteo Rover,"LM, LW, RM",67,1600000.0,1000.0,24,Südtirol,Serie B
J. Broh,Jérémie Broh,"CM, CDM",66,1100000.0,2000.0,26,Südtirol,Serie B
K. Vinetot,Kévin Vinetot,CB,66,230000.0,900.0,35,Südtirol,Serie B
N. Siega,Nicholas Siega,"CM, CAM",66,675000.0,1000.0,32,Südtirol,Serie B
L. Ghiringhelli,Luca Ghiringhelli,"RB, RM",65,525000.0,1000.0,31,Südtirol,Serie B
A. Cisco,Andrea Cisco,"RM, ST",64,925000.0,950.0,24,Südtirol,Serie B
S. Merkaj,Silvio Merkaj,ST,64,875000.0,1000.0,25,Südtirol,Serie B
A. Cagnano,Andrea Cagnano,"LB, CB",64,750000.0,950.0,25,Südtirol,Serie B
G. Lunetta,Gabriel Lunetta,LM,64,650000.0,1000.0,26,Südtirol,Serie B
R. Kofler,Raphael Kofler,"CDM, CB, CM",63,1100000.0,500.0,18,Südtirol,Serie B
S. Davi,Simone Davì,"LB, LM",63,925000.0,750.0,23,Südtirol,Serie B
R. Ciervo,Riccardo Ciervo,"LM, RM, LW",62,900000.0,3000.0,22,Südtirol,Serie B
G. Cuomo,Giuseppe Cuomo,CB,62,525000.0,750.0,25,Südtirol,Serie B
E. Pecorino,Emanuele Pecorino,ST,60,550000.0,600.0,21,Südtirol,Serie B
L. Lonardi,Lorenzo Lonardi,"CM, CDM, CB",59,450000.0,650.0,24,Südtirol,Serie B
G. Drago,Giacomo Drago,GK,58,350000.0,500.0,22,Südtirol,Serie B
A. Giorgini,Andrea Giorgini,"CB, RB",57,375000.0,500.0,21,Südtirol,Serie B
C. Shiba,Cristian Shiba,"CB, RB",57,350000.0,600.0,22,Südtirol,Serie B
