short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Kramarić,Andrej Kramarić,"CF, CM, CAM",81,21000000.0,50000.0,32,TSG Hoffenheim,Bundesliga
O. Baumann,Oliver Baumann,GK,80,7000000.0,32000.0,33,TSG Hoffenheim,Bundesliga
M. Berisha,Mërgim Berisha,"ST, CF",78,20000000.0,38000.0,25,TSG Hoffenheim,Bundesliga
I. Bebou,Ihlas Bebou,"ST, RM, RW",77,10500000.0,39000.0,29,TSG Hoffenheim,Bundesliga
W. Weghorst,Wout Weghorst,ST,77,10500000.0,51000.0,30,TSG Hoffenheim,Bundesliga
A. Szalai,Attila Árpád Szalai,CB,76,9500000.0,28000.0,25,TSG Hoffenheim,Bundesliga
F. Grillitsch,Florian Grillitsch,"CDM, CB",76,7500000.0,29000.0,27,TSG Hoffenheim,Bundesliga
K. Vogt,Kevin Vogt,CB,76,5000000.0,29000.0,31,TSG Hoffenheim,Bundesliga
J. Brooks,John Anthony Brooks,CB,76,6000000.0,29000.0,30,TSG Hoffenheim,Bundesliga
G. Prömel,Grischa Prömel,"CM, CDM",76,7500000.0,34000.0,28,TSG Hoffenheim,Bundesliga
O. Kabak,Ozan Muhammed Kabak,CB,75,8000000.0,24000.0,23,TSG Hoffenheim,Bundesliga
A. Stach,Anton Stach,"CM, CDM, CF",75,9000000.0,27000.0,24,TSG Hoffenheim,Bundesliga
D. Geiger,Dennis Geiger,"CDM, CM",75,7500000.0,27000.0,25,TSG Hoffenheim,Bundesliga
D. Samassékou,Diadié Samassékou,"CDM, CM",75,6000000.0,28000.0,27,TSG Hoffenheim,Bundesliga
P. Kadeřábek,Pavel Kadeřábek,"RWB, RM",75,4100000.0,28000.0,31,TSG Hoffenheim,Bundesliga
M. Bülter,Marius Bülter,"LM, ST",75,5500000.0,31000.0,30,TSG Hoffenheim,Bundesliga
K. Akpoguma,Kevin John Ufuoma Akpoguma,"CB, RWB",74,4200000.0,27000.0,28,TSG Hoffenheim,Bundesliga
R. Skov,Robert Skov,"RWB, LWB, RM",74,4400000.0,26000.0,27,TSG Hoffenheim,Bundesliga
S. Nsoki,Stanley Pierre N,CB,72,3400000.0,18000.0,24,TSG Hoffenheim,Bundesliga
J. Justvan,Julian Justvan,"CAM, RWB, LWB",72,3100000.0,22000.0,25,TSG Hoffenheim,Bundesliga
M. John,Marco John,"LWB, LM",71,4000000.0,13000.0,21,TSG Hoffenheim,Bundesliga
M. Beier,Maximilian Beier,"ST, LM, RM",70,3500000.0,15000.0,20,TSG Hoffenheim,Bundesliga
F. Becker,Finn Ole Becker,CM,70,3200000.0,15000.0,23,TSG Hoffenheim,Bundesliga
K. Adams Nuhu,Kasim Adams Nuhu,CB,70,1500000.0,17000.0,28,TSG Hoffenheim,Bundesliga
T. Bischof,Tom Bischof,CAM,66,2400000.0,3000.0,18,TSG Hoffenheim,Bundesliga
M. Bogarde,Melayro Chakewno Jalaino Bogarde,"CB, RWB, CDM",65,1500000.0,5000.0,21,TSG Hoffenheim,Bundesliga
L. Philipp,Luca Philipp,GK,65,1400000.0,5000.0,22,TSG Hoffenheim,Bundesliga
U. Tohumcu,Umut Tohumcu,"CAM, CM",64,1600000.0,3000.0,18,TSG Hoffenheim,Bundesliga
J. Quarshie,Joshua Quarshie,CB,60,600000.0,1000.0,18,TSG Hoffenheim,Bundesliga
B. Conté,Bambasé Conté,"LW, RW",59,575000.0,3000.0,19,TSG Hoffenheim,Bundesliga
N. König,Noah König,CB,59,500000.0,3000.0,20,TSG Hoffenheim,Bundesliga
N. Noll,Nahuel Noll,GK,57,350000.0,2000.0,20,TSG Hoffenheim,Bundesliga
