short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Garro,Rodrigo Garro,"CAM, LM",77,14000000.0,17000.0,25,Talleres Córdoba,Liga Profesional
G. Herrera,Guido Gabriel Herrera,GK,76,4000000.0,12000.0,31,Talleres Córdoba,Liga Profesional
R. Villagra,Rodrigo Román Villagra,"CDM, CM",75,10500000.0,12000.0,22,Talleres Córdoba,Liga Profesional
R. Sosa,Ramón Sosa Acosta,"LM, RM",74,6500000.0,12000.0,23,Talleres Córdoba,Liga Profesional
M. Catalán,Matías Ezequiel Catalán,"CB, RB",74,3500000.0,13000.0,30,Talleres Córdoba,Liga Profesional
N. Bustos,Nahuel Lautaro Bustos,"ST, LM",73,4700000.0,13000.0,24,Talleres Córdoba,Liga Profesional
G. Benavídez,Gastón Américo Benavídez,"RB, RWB, CB",73,3200000.0,12000.0,27,Talleres Córdoba,Liga Profesional
J. Portillo,Juan Carlos Portillo,"LB, CM, CDM",72,3500000.0,9000.0,23,Talleres Córdoba,Liga Profesional
J. Rodríguez,Juan Gabriel Rodríguez,CB,72,2000000.0,11000.0,29,Talleres Córdoba,Liga Profesional
L. Morales,Lautaro Alberto Morales,GK,71,3600000.0,6000.0,23,Talleres Córdoba,Liga Profesional
T. Molina,Tomás Martín Molina,ST,71,1900000.0,12000.0,28,Talleres Córdoba,Liga Profesional
L. Angulo,Luis Miguel Angulo,"LM, RM, LW",69,3000000.0,4000.0,19,Talleres Córdoba,Liga Profesional
B. Barticciotto,Bruno Barticciotto Di Bartolo,"ST, LM",69,3200000.0,7000.0,22,Talleres Córdoba,Liga Profesional
U. Ortegoza,Ulises Ortegoza,"CM, CDM, CAM",69,1700000.0,8000.0,26,Talleres Córdoba,Liga Profesional
L. Suárez,Lucas Matías Suárez Scalarea,"CB, LB",69,1300000.0,7000.0,28,Talleres Córdoba,Liga Profesional
K. Mantilla,Kevin Andrés Mantilla Camargo,CB,68,2500000.0,4000.0,20,Talleres Córdoba,Liga Profesional
J. Vallejo,Javier Nicolás Vallejo,"LM, RM, ST",67,2400000.0,3000.0,19,Talleres Córdoba,Liga Profesional
B. Riveros,Blás Miguel Riveros Galeano,LB,67,1200000.0,5000.0,25,Talleres Córdoba,Liga Profesional
V. Depietri,Valentín Depietri,"LM, RM, CF",66,1900000.0,4000.0,22,Talleres Córdoba,Liga Profesional
M. Seoane,Mateo Seoane,"CM, CDM",65,1500000.0,2000.0,19,Talleres Córdoba,Liga Profesional
T. Palacios,Tiago Tomás Palacios,"CB, LB",64,1300000.0,2000.0,20,Talleres Córdoba,Liga Profesional
F. Pozzo,Francisco Pozzo,ST,64,1300000.0,2000.0,19,Talleres Córdoba,Liga Profesional
M. Galarza Fonda,Matías Galarza Fonda,"CM, CAM",63,1100000.0,2000.0,21,Talleres Córdoba,Liga Profesional
L. Sequeira,Luis Alberto Sequeira,"CAM, CF, RW",62,950000.0,2000.0,20,Talleres Córdoba,Liga Profesional
T. Olmos,Tomás Olmos,RB,62,875000.0,750.0,18,Talleres Córdoba,Liga Profesional
M. Gómez,Matías Gómez,"CM, CDM",61,825000.0,500.0,17,Talleres Córdoba,Liga Profesional
J. Giacone,Juan Cruz Giacone,ST,61,775000.0,2000.0,19,Talleres Córdoba,Liga Profesional
L. Martínez,Laureano Imanol Martínez Lezcano,GK,61,650000.0,1000.0,21,Talleres Córdoba,Liga Profesional
