short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Enric Gallego,Enrique Gallego Puigsech,ST,73,1000000.0,8000.0,36,Tenerife,La Liga 2
Roberto López,Roberto López Alcaide,"RM, CM, CAM",72,5000000.0,18000.0,23,Tenerife,La Liga 2
Juan Soriano,Juan Soriano Oropesa,GK,72,2600000.0,6000.0,25,Tenerife,La Liga 2
Ángel,Ángel Luís Rodríguez Díaz,"ST, CAM",72,800000.0,7000.0,36,Tenerife,La Liga 2
Nacho,José Ignacio Martínez García,LB,72,850000.0,8000.0,34,Tenerife,La Liga 2
Y. Bodiger,Yann Yves Laurent Bodiger,"CDM, CM, CAM",71,1800000.0,7000.0,28,Tenerife,La Liga 2
Àlex Corredera,Alexandre Corredera Alardi,"CM, CDM, RM",71,2100000.0,7000.0,27,Tenerife,La Liga 2
Aitor Sanz,Aitor Sanz Martín,"CDM, CM",71,375000.0,5000.0,38,Tenerife,La Liga 2
J. Mellot,Jérémy Mellot,"RB, LB",71,1600000.0,7000.0,29,Tenerife,La Liga 2
José Amo,José María Amo Torres,"CB, CDM",70,2100000.0,6000.0,25,Tenerife,La Liga 2
M. Dauda,Mohammed Dauda,"LM, RM, ST",70,2100000.0,6000.0,25,Tenerife,La Liga 2
Waldo,Waldo Rubio Martín,"LM, RM",70,1700000.0,6000.0,27,Tenerife,La Liga 2
José León,José León Bernal,CB,69,1400000.0,5000.0,28,Tenerife,La Liga 2
N. Šipčić,Nikola Šipčić,CB,69,1400000.0,5000.0,28,Tenerife,La Liga 2
Elady,Eladio Zorrilla Jiménez,"ST, LM, RM",69,1100000.0,6000.0,32,Tenerife,La Liga 2
Luismi Cruz,Luis Miguel Cruz Hernández,"RM, CAM, LM",68,2700000.0,9000.0,22,Tenerife,La Liga 2
Sergio González,Sergio González Martínez,"CB, CDM, CM",68,1600000.0,4000.0,26,Tenerife,La Liga 2
Aitor Buñuel,Aitor Buñuel Redrado,RB,68,1500000.0,4000.0,25,Tenerife,La Liga 2
Teto,Alberto Martín Díaz,"RM, LM, CAM",67,2300000.0,3000.0,21,Tenerife,La Liga 2
Javi Alonso,Javier Alonso Bello,CDM,67,1400000.0,3000.0,24,Tenerife,La Liga 2
Tomeu Nadal,Bartolomé Nadal Mesquida,GK,67,170000.0,3000.0,34,Tenerife,La Liga 2
Romero,Álvaro Romero Morillo,"LM, RM, CAM",67,1100000.0,4000.0,27,Tenerife,La Liga 2
Medrano,Fernando Medrano Gastañaga,LB,65,1500000.0,2000.0,23,Tenerife,La Liga 2
Moha Ramos,Mohamed Airam Ramos Wade,GK,65,1400000.0,2000.0,23,Tenerife,La Liga 2
Ethyan,Ethyan Jesús González Morales,ST,64,1400000.0,2000.0,21,Tenerife,La Liga 2
Loïc Williams,Loic Williams Ntambue Kayumba,CB,64,1200000.0,2000.0,21,Tenerife,La Liga 2
Pablo Hernandez,Pablo Israel Hernandez Luis,"CM, CDM",64,1300000.0,2000.0,22,Tenerife,La Liga 2
Alassan,Alassan Manjam Gutiérrez,"LM, RM",63,1100000.0,2000.0,20,Tenerife,La Liga 2
Dylan Perera,Dylan José Perera Plasencia,"CAM, CM, LM",61,800000.0,1000.0,20,Tenerife,La Liga 2
Jesús Belza,Jesús Belza Medina,"RB, RM",61,675000.0,900.0,19,Tenerife,La Liga 2
