short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Falletti,César Alejandro Falletti dos Santos,"CAM, CF, ST",71,1800000.0,3000.0,30,Ternana,Serie B
F. Dionisi,Federico Dionisi,"ST, RW",70,550000.0,2000.0,36,Ternana,Serie B
F. Sørensen,Frederik Hillersborg Sørensen,CB,70,1100000.0,3000.0,31,Ternana,Serie B
M. Capuano,Marco Capuano,CB,70,1100000.0,3000.0,31,Ternana,Serie B
A. Favilli,Andrea Favilli,ST,69,1700000.0,13000.0,26,Ternana,Serie B
A. Iannarilli,Antony Iannarilli,GK,69,700000.0,2000.0,32,Ternana,Serie B
T. Casasola,Tiago Matías Casasola,"RM, RWB, RB",69,1500000.0,2000.0,27,Ternana,Serie B
V. Mantovani,Valerio Mantovani,"CB, RB",68,1200000.0,2000.0,27,Ternana,Serie B
S. Diakité,Salim Diakité,"CB, RB, RM",67,2100000.0,1000.0,23,Ternana,Serie B
N. Corrado,Niccolò Corrado,"LM, LB",67,1500000.0,2000.0,23,Ternana,Serie B
A. Celli,Alessandro Celli,"LWB, LB, CB",67,900000.0,2000.0,29,Ternana,Serie B
J. Łabojko,Jakub Jan Łabojko,"CDM, CM",66,1200000.0,1000.0,25,Ternana,Serie B
Gabriel Brazão,Gabriel Nascimento Resende Brazão,GK,65,1400000.0,10000.0,22,Ternana,Serie B
F. Viviani,Federico Viviani,"CM, CDM",65,575000.0,1000.0,31,Ternana,Serie B
G. Luperini,Gregorio Luperini,"CAM, CM",65,700000.0,1000.0,29,Ternana,Serie B
A. Raimondo,Antonio Raimondo,ST,63,1300000.0,4000.0,19,Ternana,Serie B
A. Mărginean,Andrei Mărginean,"CM, CDM, CAM",61,675000.0,2000.0,21,Ternana,Serie B
N. Pyyhtiä,Niklas Pyyhtiä,"CM, CAM",60,575000.0,3000.0,19,Ternana,Serie B
C. Travaglini,Christian Travaglini,"LWB, LM, LB",60,475000.0,3000.0,23,Ternana,Serie B
F. Distefano,Filippo Distefano,"CF, LM, CAM",59,550000.0,6000.0,20,Ternana,Serie B
C. Favasuli,Costantino Favasuli,"LM, CM, LB",58,475000.0,4000.0,19,Ternana,Serie B
G. Onesti,Gabriele Onesti,LM,57,400000.0,600.0,21,Ternana,Serie B
T. Vitali,Tommaso Vitali,GK,51,70000.0,500.0,23,Ternana,Serie B
