short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Insigne,Lorenzo Insigne,"LW, CF, LM",81,20500000.0,14000.0,32,Toronto,Major League Soccer
F. Bernardeschi,Federico Bernardeschi,"RW, RM, CAM",78,14000000.0,12000.0,29,Toronto,Major League Soccer
J. Osorio,Jonathan Osorio,"CM, CDM, LM",73,2500000.0,8000.0,31,Toronto,Major League Soccer
S. Johnson,Sean Everet Johnson,GK,70,275000.0,4000.0,34,Toronto,Major League Soccer
L. Blessing,Latif Blessing,"CM, CDM, RM",70,1700000.0,5000.0,26,Toronto,Major League Soccer
R. Petretta,Raoul Petretta,LB,68,1300000.0,3000.0,26,Toronto,Major League Soccer
M. Bradley,Michael Bradley,"CDM, CM, CB",68,350000.0,2000.0,35,Toronto,Major League Soccer
C. Mailula,Cassius Mailula,"CAM, CF, ST",67,2300000.0,3000.0,22,Toronto,Major League Soccer
P. Owusu,Prince Osei Owusu,ST,67,1200000.0,3000.0,26,Toronto,Major League Soccer
Víctor Vázquez,Víctor Vázquez Solsona,"CAM, CM",66,275000.0,2000.0,36,Toronto,Major League Soccer
C. Sapong,Charles Kwabena Sapong,ST,66,425000.0,3000.0,34,Toronto,Major League Soccer
S. Rosted,Sigurd Rosted,CB,65,625000.0,2000.0,28,Toronto,Major League Soccer
B. Servania,Brandon Iván Servania,"CDM, CM, RM",64,800000.0,2000.0,24,Toronto,Major League Soccer
C. Gutiérrez,Cristián Daniel Gutiérrez Zúñiga,"LB, LM, LWB",64,675000.0,2000.0,26,Toronto,Major League Soccer
F. Ibarra,Franco Gabriel Ibarra,"CDM, CM",63,1000000.0,1000.0,22,Toronto,Major League Soccer
K. Franklin,Kobe Franklin,"RB, LB",63,1000000.0,1000.0,20,Toronto,Major League Soccer
A. Mabika,Aimé Mabika,CB,63,625000.0,1000.0,24,Toronto,Major League Soccer
A. Diomande,Adama Valentin Diomande,ST,63,300000.0,2000.0,33,Toronto,Major League Soccer
S. O'Neill,Shane Edward O'Neill,CB,63,400000.0,2000.0,29,Toronto,Major League Soccer
J. Marshall-Rutty,Jahkeele Marshall-Rutty,"RB, CM, LM",60,550000.0,650.0,19,Toronto,Major League Soccer
T. Romero,Tomas Lían Romero Keubler,GK,60,475000.0,850.0,22,Toronto,Major League Soccer
D. Kerr,Deandre Kerr,"RM, ST, CM",60,550000.0,1000.0,20,Toronto,Major League Soccer
G. Ranjitsingh,Gregory Ranjitsingh,GK,60,170000.0,1000.0,29,Toronto,Major League Soccer
A. Coello,Alonso Coello Camarero,"CAM, CM",56,325000.0,1000.0,23,Toronto,Major League Soccer
H. Mbongue,Hugo Mbongue,ST,54,250000.0,550.0,18,Toronto,Major League Soccer
T. Antonoglou,Themi Antonoglou,"LB, LM",54,230000.0,1000.0,22,Toronto,Major League Soccer
L. Gavran,Luka Gavran,GK,54,210000.0,800.0,23,Toronto,Major League Soccer
J. Faria,Jordan Faria,"LW, LM",54,220000.0,1000.0,23,Toronto,Major League Soccer
L. Stefanović,Lazar Stefanović,CB,52,240000.0,500.0,16,Toronto,Major League Soccer
