short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Nicolaisen,Rasmus Schmidt Nicolaisen,CB,76,8500000.0,21000.0,26,Toulouse,Ligue 1
T. Dallinga,Thijs Dallinga,ST,75,12500000.0,21000.0,22,Toulouse,Ligue 1
Z. Aboukhlal,Zakaria Aboukhlal,"RM, LM",75,9000000.0,19000.0,23,Toulouse,Ligue 1
M. Desler,Mikkel Desler,"RB, RWB",73,2800000.0,18000.0,28,Toulouse,Ligue 1
G. Suazo,Gabriel Alonso Suazo Urbina,"LB, LM, LWB",72,2900000.0,15000.0,25,Toulouse,Ligue 1
L. Costa,Logan Costa,CB,71,4300000.0,12000.0,22,Toulouse,Ligue 1
M. Diarra,Moussa Diarra,"LB, CB, CM",71,4000000.0,12000.0,22,Toulouse,Ligue 1
C. Cásseres Jr,Cristian Sleiker Cásseres Yepes,"CDM, CM, RM",71,2700000.0,12000.0,23,Toulouse,Ligue 1
Álex Domínguez,Alejandro Domínguez Romero,GK,71,2400000.0,9000.0,24,Toulouse,Ligue 1
N. Schmidt,Niklas Schmidt,"CAM, CM, CF",71,2600000.0,14000.0,25,Toulouse,Ligue 1
A. Dønnum,Aron Leonard Dønnum,"LM, RM",71,2500000.0,14000.0,25,Toulouse,Ligue 1
V. Sierro,Vincent Olivier Sierro,"CM, CDM",71,2100000.0,15000.0,27,Toulouse,Ligue 1
G. Restes,Guillaume Restes,GK,70,3600000.0,1000.0,18,Toulouse,Ligue 1
César Gelabert,César Gelabert Piña,"CM, LM, ST",70,3600000.0,11000.0,22,Toulouse,Ligue 1
D. Genreau,Denis Genreau,"CM, CAM",70,3200000.0,11000.0,24,Toulouse,Ligue 1
F. Magri,Frank Magri,"ST, LM",70,2500000.0,12000.0,23,Toulouse,Ligue 1
I. Cissoko,Ibrahim Cissoko,"LM, RM",69,3400000.0,8000.0,20,Toulouse,Ligue 1
Y. Begraoui,Yanis Begraoui,"ST, RM, LM",68,2700000.0,8000.0,21,Toulouse,Ligue 1
W. Kamanzi,Warren Håkon Christofer Kamanzi,"RB, RWB, LWB",68,2600000.0,7000.0,22,Toulouse,Ligue 1
M. Bangré,Mamady Alex Bangré,RM,67,2500000.0,7000.0,22,Toulouse,Ligue 1
K. Keben,Kévin Keben,"RB, CB",66,1900000.0,3000.0,19,Toulouse,Ligue 1
N. Lahmadi,Noah Lahmadi,"CM, CDM",65,2300000.0,2000.0,18,Toulouse,Ligue 1
C. Mawissa Elebi,Christian Mawissa Elebi,"CB, LB, RB",64,1400000.0,1000.0,18,Toulouse,Ligue 1
N. Skyttä,Naatan Skyttä,"CM, CAM",64,1400000.0,4000.0,21,Toulouse,Ligue 1
O. Zandén,Oliver Zandén,LB,64,1300000.0,4000.0,21,Toulouse,Ligue 1
B. Traoré,Bonota Traoré,ST,63,1100000.0,4000.0,20,Toulouse,Ligue 1
T. Himeur,Thomas Himeur,GK,63,925000.0,3000.0,22,Toulouse,Ligue 1
K. Serber,Kléri Serber,CM,63,725000.0,4000.0,24,Toulouse,Ligue 1
J. Flemmings,Junior Flemmings,"LM, RM, ST",62,425000.0,4000.0,27,Toulouse,Ligue 1
