short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
E. Višća,Edin Višća,"RM, RW",79,11000000.0,56000.0,33,Trabzonspor,Super Lig
U. Çakır,Uğurcan Çakır,GK,78,13000000.0,38000.0,27,Trabzonspor,Super Lig
N. Pépé,Nicolas Pépé,"RM, LM, LW",78,14000000.0,53000.0,28,Trabzonspor,Super Lig
A. Bakasetas,Anastasios Bakasetas,"CM, CAM",76,7000000.0,45000.0,30,Trabzonspor,Super Lig
Trezeguet,Mahmoud Ahmed Ibrahim Hassan,"LW, LM",76,7500000.0,51000.0,28,Trabzonspor,Super Lig
Joaquín,Joaquín Fernández Moreno,"CB, CDM",75,6500000.0,39000.0,27,Trabzonspor,Super Lig
T. Fountas,Taxiarchis Fountas,"CF, ST, CAM",75,6000000.0,46000.0,27,Trabzonspor,Super Lig
M. Oršić,Mislav Oršić,"LW, LM, ST",75,5500000.0,46000.0,30,Trabzonspor,Super Lig
J. Larsen,Jens Stryger Larsen,"RB, LB",74,2900000.0,36000.0,32,Trabzonspor,Super Lig
D. Kourbelis,Dimitrios Kourmpelis,"CDM, CB, CM",74,3600000.0,38000.0,29,Trabzonspor,Super Lig
E. Bardhi,Enis Bardhi,"CM, LM, CAM",74,4500000.0,39000.0,27,Trabzonspor,Super Lig
A. Ömür,Abdülkadir Ömür,"CM, RW, CAM",73,4300000.0,32000.0,24,Trabzonspor,Super Lig
U. Bozok,Umut Dilan Bozok,ST,73,3800000.0,39000.0,26,Trabzonspor,Super Lig
S. Denswil,Stefano Denswil,"CB, LB",73,2500000.0,33000.0,30,Trabzonspor,Super Lig
P. Onuachu,Paul Ebere Onuachu,ST,73,3000000.0,38000.0,29,Trabzonspor,Super Lig
B. Mendy,Batista Mendy,"CDM, CM, CB",72,3400000.0,25000.0,23,Trabzonspor,Super Lig
F. Benković,Filip Benković,CB,72,2800000.0,11000.0,25,Trabzonspor,Super Lig
B. Özdemir,Berat Ayberk Özdemir,"CM, CDM",71,2300000.0,18000.0,25,Trabzonspor,Super Lig
E. Elmalı,Evren Eren Elmalı,"LB, CB",70,3100000.0,19000.0,22,Trabzonspor,Super Lig
R. Baniya,Rayyan Baniya,CB,69,2000000.0,16000.0,24,Trabzonspor,Super Lig
B. Koita,Bengali-Fodé Koita,"ST, RW",69,1100000.0,23000.0,32,Trabzonspor,Super Lig
H. Türkmen,Hüseyin Türkmen,"CB, RB",68,1400000.0,15000.0,25,Trabzonspor,Super Lig
M. Aydın,Mehmet Can Aydın,RB,67,2200000.0,3000.0,21,Trabzonspor,Super Lig
T. Teklić,Tonio Teklić,"CAM, RW, CM",66,1700000.0,11000.0,23,Trabzonspor,Super Lig
E. Destan,Enis Destan,"ST, CF",64,1300000.0,9000.0,21,Trabzonspor,Super Lig
G. Gürpüz,Göktan Gürpüz,CAM,62,950000.0,6000.0,20,Trabzonspor,Super Lig
M. Tepe,Muhammet Taha Tepe,GK,62,775000.0,5000.0,22,Trabzonspor,Super Lig
K. Moradaoğlu,Kağan Moradaoğlu,GK,59,525000.0,3000.0,20,Trabzonspor,Super Lig
A. Yılmaz,Ali Şahin Yılmaz,CB,59,500000.0,3000.0,19,Trabzonspor,Super Lig
A. Boşluk,Arif Boşluk,LB,56,325000.0,5000.0,20,Trabzonspor,Super Lig
