short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Alemdar,Doğan Alemdar,GK,72,2900000.0,14000.0,20,Troyes,Ligue 2
X. Chavalerin,Xavier Chavalerin,"CM, LM, CDM",72,1800000.0,7000.0,32,Troyes,Ligue 2
R. Ripart,Renaud Ripart,"RW, ST",71,1800000.0,6000.0,30,Troyes,Ligue 2
N. De Préville,Nicolas De Préville,ST,70,1300000.0,5000.0,32,Troyes,Ligue 2
T. Baldé,Thierno Baldé,"RB, RWB",69,3000000.0,3000.0,21,Troyes,Ligue 2
Y. M'Changama,Youssouf Yacoub M'Changama,"CM, CAM",69,1100000.0,4000.0,32,Troyes,Ligue 2
A. Palaversa,Ante Palaversa,"CM, CDM",68,2700000.0,3000.0,23,Troyes,Ligue 2
I. Boura,Ismaël Boura,"LB, LWB",68,2300000.0,3000.0,22,Troyes,Ligue 2
A. Bruus,Andreas Bruus,"RWB, RM, RB",68,1700000.0,3000.0,24,Troyes,Ligue 2
Abdu Conté,Abdu Cadri Conté,"LB, LWB",68,1600000.0,3000.0,25,Troyes,Ligue 2
A. Ndiaye,Abdoulaye Niakhate Ndiaye,CB,67,2400000.0,2000.0,21,Troyes,Ligue 2
R. Saïd,Rafiki Said Ahamada,"LW, ST, LM",67,2300000.0,3000.0,23,Troyes,Ligue 2
L. Ilić,Luka Ilić,"CAM, CM",67,1600000.0,3000.0,23,Troyes,Ligue 2
N. Lemaître,Nicolas Lemaître,GK,67,1200000.0,2000.0,26,Troyes,Ligue 2
T. Zoukrou,Tanguy Banhie-Zoukrou,CB,64,1300000.0,1000.0,20,Troyes,Ligue 2
J. Olaitan Ishola,Junior Olaitan Ishola,"CAM, CM, LM",64,1300000.0,1000.0,21,Troyes,Ligue 2
M. Diop,Mouhamed Diop,CAM,63,1100000.0,2000.0,22,Troyes,Ligue 2
K. Dong,Kyliane Dong,"LW, RW",62,925000.0,700.0,18,Troyes,Ligue 2
J. Assoumou,Jaurès Assoumou,"ST, RW",61,725000.0,1000.0,20,Troyes,Ligue 2
D. Mazou-Sacko,Derek Mazou-Sacko,CM,60,625000.0,500.0,18,Troyes,Ligue 2
N. Cervantes,Noa Cervantes,"RW, CAM",60,600000.0,1000.0,20,Troyes,Ligue 2
E. N'Jo,Eric N'Jo,CB,58,450000.0,650.0,19,Troyes,Ligue 2
A. Kanté,Abdoulaye Kanté,CDM,57,400000.0,500.0,17,Troyes,Ligue 2
C. Michel,Corentin Michel,GK,57,275000.0,850.0,23,Troyes,Ligue 2
M. Hamdi,Mathis Hamdi,LB,56,300000.0,650.0,19,Troyes,Ligue 2
R. Kohon,Rudy Kohon,"CB, RB",55,275000.0,600.0,19,Troyes,Ligue 2
A. Lefebvre,Alexis Lefebvre,RW,53,210000.0,1000.0,20,Troyes,Ligue 2
