short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Deulofeu,Gerard Deulofeu Lázaro,"CF, ST",80,21000000.0,26000.0,29,Udinese,Serie A
M. Silvestri,Marco Silvestri,GK,79,8500000.0,16000.0,32,Udinese,Serie A
R. Pereyra,Roberto Maximiliano Pereyra,"CM, RM, CF",78,11000000.0,20000.0,32,Udinese,Serie A
N. Pérez,Patricio Nehuen Pérez,CB,76,11000000.0,14000.0,23,Udinese,Serie A
J. Bijol,Jaka Bijol,"CB, CDM",75,10500000.0,13000.0,24,Udinese,Serie A
S. Lovrič,Sandi Lovrič,"CM, CDM",75,8000000.0,16000.0,25,Udinese,Serie A
Walace,Walace Souza Silva,"CDM, CM",75,5500000.0,16000.0,28,Udinese,Serie A
Brenner,Brenner Souza da Silva,ST,74,6500000.0,15000.0,23,Udinese,Serie A
H. Kamara,Hassane Kamara,"LWB, LM, LB",74,3700000.0,15000.0,29,Udinese,Serie A
L. Samardžić,Lazar Samardžić,"CM, CAM",73,6000000.0,11000.0,21,Udinese,Serie A
M. Payero,Martín Ismael Payero,CM,73,4600000.0,12000.0,24,Udinese,Serie A
Zarraga,Oier Zarraga Egaña,"CM, RM",73,4600000.0,12000.0,24,Udinese,Serie A
I. Success,Isaac Ajayi Success,ST,73,3600000.0,16000.0,27,Udinese,Serie A
F. Thauvin,Florian Tristan Mariano Thauvin,"RM, ST",73,2900000.0,14000.0,30,Udinese,Serie A
A. Masina,Adam Masina,"CB, LB, LWB",73,2500000.0,14000.0,29,Udinese,Serie A
L. Lucca,Lorenzo Lucca,ST,72,5500000.0,5000.0,22,Udinese,Serie A
E. Ebosse,Enzo Ebosse,"CB, LWB",71,3900000.0,9000.0,24,Udinese,Serie A
K. Davis,Keinan Davis,ST,71,2600000.0,12000.0,25,Udinese,Serie A
D. Padelli,Daniele Padelli,GK,71,210000.0,5000.0,37,Udinese,Serie A
C. Kabasele,Christian Kabasele,CB,71,1200000.0,10000.0,32,Udinese,Serie A
K. Ehizibue,Kingsley Ehizibue,"RWB, RM, RB",71,1700000.0,11000.0,28,Udinese,Serie A
J. Zemura,Jordan Bhekithemba Zemura,"LWB, LB, LM",70,3000000.0,8000.0,23,Udinese,Serie A
M. Okoye,Maduka Emilio Okoye,GK,70,2000000.0,6000.0,23,Udinese,Serie A
M. Aké,Marley Aké,"LM, LW",69,2800000.0,7000.0,22,Udinese,Serie A
T. Kristensen,Thomas Thiesson Kristensen,CB,68,2800000.0,5000.0,21,Udinese,Serie A
F. Ebosele,Festy Ebosele,"RM, RWB",68,2600000.0,5000.0,20,Udinese,Serie A
João Ferreira,João Diogo Fonseca Ferreira,"RWB, RB, RM",68,2600000.0,11000.0,22,Udinese,Serie A
S. Pafundi,Simone Pafundi,"CAM, RM",67,2500000.0,750.0,17,Udinese,Serie A
Domingos Quina,Domingos Quina,"LM, CM, CAM",67,2300000.0,5000.0,23,Udinese,Serie A
E. Camara,Etienne Camara,"CDM, CM",63,1100000.0,2000.0,20,Udinese,Serie A
Vivaldo,Vivaldo Leandro Semedo Moura Sousa,ST,61,825000.0,1000.0,18,Udinese,Serie A
A. Guessand,Axel Thurel Sahuye Guessand,CB,59,550000.0,700.0,18,Udinese,Serie A
A. Tikvic,Antonio Tikvić,CB,56,325000.0,1000.0,19,Udinese,Serie A
