short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Ortag,Christian Ortag,GK,64,475000.0,550.0,28,Ulm,3. Liga
J. Reichert,Johannes Reichert,CB,64,400000.0,650.0,31,Ulm,3. Liga
S. Risch,Sascha Risch,"LM, LWB",63,975000.0,550.0,23,Ulm,3. Liga
Léo Scienza,Leonardo Weschenfelder-Scienza,"LW, RW",63,650000.0,650.0,24,Ulm,3. Liga
L. Yarbrough,Lamar Yarbrough,CB,63,475000.0,600.0,27,Ulm,3. Liga
T. Geyer,Thomas Geyer,"CB, CDM",63,300000.0,600.0,32,Ulm,3. Liga
L. Röser,Lucas Röser,ST,63,475000.0,750.0,29,Ulm,3. Liga
N. Jann,Nicolas Jann,"LW, LM, RW",63,400000.0,700.0,31,Ulm,3. Liga
L. Jastremski,Lenn Jastremski,ST,62,900000.0,550.0,22,Ulm,3. Liga
F. Higl,Felix Higl,ST,62,525000.0,650.0,26,Ulm,3. Liga
A. Ludwig,Andreas Ludwig,"CM, CAM",62,325000.0,600.0,32,Ulm,3. Liga
D. Chessa,Dennis Chessa,"RW, RM, CAM",62,375000.0,650.0,30,Ulm,3. Liga
P. Maier,Philipp Maier,"CDM, CB, CM",62,350000.0,550.0,29,Ulm,3. Liga
B. Allgeier,Bastian Allgeier,"RWB, RM",61,700000.0,500.0,21,Ulm,3. Liga
D. Grözinger,David Grözinger,"LWB, LM",61,475000.0,500.0,24,Ulm,3. Liga
T. Gaal,Tom Gaal,CB,60,575000.0,500.0,22,Ulm,3. Liga
M. Brandt,Max Brandt,"CAM, CM, CDM",60,550000.0,500.0,22,Ulm,3. Liga
R. Rösch,Romario Rösch,"RW, CAM, RM",60,350000.0,500.0,24,Ulm,3. Liga
M. Hannemann,Moritz Hannemann,"RW, CF, LW",60,325000.0,500.0,25,Ulm,3. Liga
L. Stoll,Lennart Stoll,"RM, RWB, CB",60,250000.0,500.0,27,Ulm,3. Liga
L. Ahrend,Lukas Ahrend,CDM,59,475000.0,500.0,23,Ulm,3. Liga
J. Kudala,Julian Kudala,"RW, LW, RM",59,500000.0,500.0,21,Ulm,3. Liga
T. Rühle,Tobias Rühle,ST,59,180000.0,550.0,32,Ulm,3. Liga
D. De Sousa Oelsner,Dennis De Sousa Oelsner,"LW, RW, CAM",59,240000.0,550.0,27,Ulm,3. Liga
L. Otto,Lorenz Otto,GK,58,400000.0,500.0,22,Ulm,3. Liga
M. Seybold,Marvin Seybold,GK,55,220000.0,500.0,21,Ulm,3. Liga
