short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Corvalán,Claudio Gastón Corvalán,"CB, LB",71,600000.0,9000.0,34,Unión Santa Fe,Liga Profesional
N. Orsini,Nicolás Orsini,ST,71,1900000.0,14000.0,28,Unión Santa Fe,Liga Profesional
E. Roldán,Enzo Martín Roldán,"CM, CDM",70,3600000.0,7000.0,22,Unión Santa Fe,Liga Profesional
F. Calderón,Franco Ezequiel Calderón,CB,70,2100000.0,7000.0,25,Unión Santa Fe,Liga Profesional
M. Luna Diale,Mauro Luna Diale,"CM, ST, CAM",69,2100000.0,6000.0,24,Unión Santa Fe,Liga Profesional
F. Vera,Federico Vera,"RWB, RB",69,1900000.0,6000.0,25,Unión Santa Fe,Liga Profesional
S. Moyano,Sebastián Emanuel Moyano,GK,69,700000.0,5000.0,32,Unión Santa Fe,Liga Profesional
O. Piris,Oscar Piris,CB,69,450000.0,6000.0,34,Unión Santa Fe,Liga Profesional
B. Castrillón,Bryan David Castrillón Gómez,"LM, RM, LW",68,1900000.0,5000.0,24,Unión Santa Fe,Liga Profesional
K. Zenón,Kevin Andrés Zenón,"LM, LW, LWB",68,1900000.0,4000.0,21,Unión Santa Fe,Liga Profesional
N. Campisi,Dante Nicolás Campisi,GK,68,1200000.0,4000.0,26,Unión Santa Fe,Liga Profesional
D. Juárez,Daniel Eduardo Juárez,"LM, RM, CAM",67,2300000.0,4000.0,21,Unión Santa Fe,Liga Profesional
N. Paz,Nicolás Paz,"CB, RB, LB",67,2100000.0,3000.0,20,Unión Santa Fe,Liga Profesional
F. Gerometta,Francisco Joel Gerometta,"RWB, RB",67,1500000.0,4000.0,23,Unión Santa Fe,Liga Profesional
J. Domina,Jerónimo Domina,"ST, LM",66,2000000.0,900.0,17,Unión Santa Fe,Liga Profesional
T. González,Tomás González,"ST, LM",65,1600000.0,3000.0,20,Unión Santa Fe,Liga Profesional
T. Banega,Tiago Nahuel Banega,"CM, CDM",65,1100000.0,4000.0,24,Unión Santa Fe,Liga Profesional
G. Morales,Gonzalo Morales,ST,64,1400000.0,4000.0,20,Unión Santa Fe,Liga Profesional
J. Mosqueira,Joaquín Mosqueira,"CM, CDM",64,1400000.0,2000.0,19,Unión Santa Fe,Liga Profesional
M. Del Blanco,Mateo Del Blanco,"LWB, LM, CM",64,1300000.0,2000.0,19,Unión Santa Fe,Liga Profesional
F. Pardo,Franco Emanuel Pardo,CB,64,775000.0,3000.0,26,Unión Santa Fe,Liga Profesional
J. O'Neil,Jairo Sebastián O'Neil López,LB,63,1000000.0,2000.0,21,Unión Santa Fe,Liga Profesional
J. Ludueña,Juan Ludueña,CB,63,975000.0,2000.0,20,Unión Santa Fe,Liga Profesional
G. Comas,Jorge Gastón Comas,"CM, LM",63,675000.0,3000.0,25,Unión Santa Fe,Liga Profesional
M. Meynier,Mariano Meynier,ST,62,875000.0,2000.0,20,Unión Santa Fe,Liga Profesional
P. Tanda,Patricio Tanda,CDM,62,850000.0,2000.0,21,Unión Santa Fe,Liga Profesional
D. González,Diego González,GK,61,700000.0,1000.0,20,Unión Santa Fe,Liga Profesional
G. Cabrera,Gianfranco Cabrera,"LM, RM",61,725000.0,2000.0,21,Unión Santa Fe,Liga Profesional
