short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Schifferl,Raphael Schifferl,CB,66,1200000.0,3000.0,23,Unterhaching,3. Liga
M. Schwabl,Markus Schwabl,"RB, CB",66,600000.0,850.0,32,Unterhaching,3. Liga
M. Welzmüller,Maximilian Welzmüller,"CDM, CM",64,300000.0,700.0,33,Unterhaching,3. Liga
R. Vollath,René Vollath,GK,64,190000.0,550.0,33,Unterhaching,3. Liga
P. Hobsch,Patrick Hobsch,ST,64,600000.0,850.0,28,Unterhaching,3. Liga
S. Maier,Sebastian Maier,"CAM, CM, LM",63,475000.0,700.0,29,Unterhaching,3. Liga
S. Skarlatidis,Simon Skarlatidis,"LM, RM, CM",63,375000.0,650.0,32,Unterhaching,3. Liga
D. Waidner,Dennis Waidner,"RB, CDM",62,850000.0,500.0,22,Unterhaching,3. Liga
M. Fetsch,Mathias Fetsch,ST,62,190000.0,650.0,34,Unterhaching,3. Liga
M. Stiefler,Manuel Stiefler,"CDM, CM",62,140000.0,550.0,34,Unterhaching,3. Liga
J. Welzmüller,Josef Welzmüller,"CB, RB",62,190000.0,550.0,33,Unterhaching,3. Liga
M. Krattenmacher,Maurice Krattenmacher,CAM,60,675000.0,500.0,17,Unterhaching,3. Liga
B. Mashigo,Boipelo Mashigo,"LM, RM",60,650000.0,500.0,20,Unterhaching,3. Liga
V. Zentrich,Viktor Zentrich,"CB, CDM",60,500000.0,500.0,20,Unterhaching,3. Liga
B. Bauer,Benedikt Bauer,"RB, LB",59,500000.0,500.0,19,Unterhaching,3. Liga
M. Lamby,Max Lamby,LB,58,475000.0,500.0,20,Unterhaching,3. Liga
A. Keller,Aaron Keller,CAM,58,475000.0,500.0,19,Unterhaching,3. Liga
A. Hirtlreiter,Andreas Hirtlreiter,"RM, CF",58,500000.0,500.0,20,Unterhaching,3. Liga
B. Westermeier,Ben Westermeier,"CM, CDM",58,500000.0,500.0,20,Unterhaching,3. Liga
F. Scherger,Fabian Scherger,GK,58,450000.0,500.0,21,Unterhaching,3. Liga
T. Obermeier,Timon Obermeier,CB,58,425000.0,500.0,20,Unterhaching,3. Liga
H. Heilmair,Hannes Heilmair,GK,57,350000.0,500.0,19,Unterhaching,3. Liga
F. Schmid,Florian Schmid,ST,57,325000.0,500.0,23,Unterhaching,3. Liga
E. Haxhosaj,Elion Haxhosaj,LB,56,350000.0,500.0,18,Unterhaching,3. Liga
T. Zimmermann,Tizian Zimmermann,"CB, CM",56,300000.0,500.0,21,Unterhaching,3. Liga
L. Grob,Leonard Grob,"CDM, CM",55,250000.0,500.0,20,Unterhaching,3. Liga
J. Gottmeier,Josef Gottmeier,LM,55,275000.0,500.0,19,Unterhaching,3. Liga
A. Leuthard,Alexander Leuthard,LM,54,275000.0,500.0,17,Unterhaching,3. Liga
