short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Bruno Costa,Bruno Xavier Almeida Costa,CM,72,3000000.0,6000.0,26,Valenciennes,Ligue 2
J. Cuffaut,Joffrey Cuffaut,"CB, RB, LB",69,375000.0,2000.0,35,Valenciennes,Ligue 2
U. Bonnet,Ugo Bonnet,ST,68,1200000.0,3000.0,29,Valenciennes,Ligue 2
J. Masson,Julien Masson,"CDM, CM",67,1300000.0,2000.0,25,Valenciennes,Ligue 2
A. Knockaert,Anthony Knockaert,"RM, RW",67,850000.0,3000.0,31,Valenciennes,Ligue 2
A. Boutoutaou,Aymen Boutoutaou,"RM, LM",66,1900000.0,2000.0,22,Valenciennes,Ligue 2
M. Noubissi,Marius Noubissi,ST,66,1100000.0,2000.0,26,Valenciennes,Ligue 2
Buatu,Jonathan Buatu Mananga,CB,66,800000.0,2000.0,29,Valenciennes,Ligue 2
L. Woudenberg,Lucas Woudenberg,"LB, LWB",66,750000.0,2000.0,29,Valenciennes,Ligue 2
I. Hamache,Ilyes Hamache,"LM, RM",65,1600000.0,1000.0,20,Valenciennes,Ligue 2
S. Banse,Sacha Banse,"CDM, CM",65,1500000.0,3000.0,22,Valenciennes,Ligue 2
A. Linguet,Allan Linguet,"RB, RWB",65,1100000.0,1000.0,23,Valenciennes,Ligue 2
A. Jung,Andrew Jung,ST,65,1000000.0,2000.0,25,Valenciennes,Ligue 2
T. Moore,Taylor Moore,"CB, RWB",65,775000.0,2000.0,26,Valenciennes,Ligue 2
D. Kruse,David Kjær Kruse,"CM, CDM",63,1200000.0,1000.0,21,Valenciennes,Ligue 2
N. Venema,Nick Venema,"LW, ST, RW",63,750000.0,1000.0,24,Valenciennes,Ligue 2
J. Louchet,Jean Louchet,GK,62,375000.0,1000.0,27,Valenciennes,Ligue 2
J. Poha,Jordan Poha,CB,61,450000.0,800.0,20,Valenciennes,Ligue 2
Y. Haouari,Yassine Haouari,"CAM, ST",60,600000.0,850.0,20,Valenciennes,Ligue 2
L. Diabaté,Lassana Diabaté,GK,60,450000.0,500.0,19,Valenciennes,Ligue 2
N. Innocenti,Nassim Innocenti,"CB, LB",59,525000.0,750.0,21,Valenciennes,Ligue 2
S. Boudraa,Sofiane Boudraa,RM,59,500000.0,850.0,20,Valenciennes,Ligue 2
J. Kalai,Jawed Kalai,CAM,58,325000.0,1000.0,22,Valenciennes,Ligue 2
Y. El Amri,Yacine El Amri,RM,57,375000.0,500.0,18,Valenciennes,Ligue 2
T. Diagouraga,Tidyane Diagouraga,CDM,57,375000.0,750.0,20,Valenciennes,Ligue 2
M. Touré,Madou Touré,CDM,57,350000.0,750.0,21,Valenciennes,Ligue 2
B. Mpata Lama,Byani Mpata Lama,LB,56,325000.0,550.0,19,Valenciennes,Ligue 2
S. Basse,Souleymane Basse,LB,56,300000.0,550.0,19,Valenciennes,Ligue 2
E. Viegbe,Eyram Viegbe,CDM,55,275000.0,500.0,19,Valenciennes,Ligue 2
N. Van Attenhoven,Naïm Van Attenhoven,GK,55,240000.0,500.0,20,Valenciennes,Ligue 2
