short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Pohjanpalo,Joel Julius Ilmari Pohjanpalo,ST,74,4300000.0,5000.0,28,Venezia,Serie B
D. Cheryshev,Denis Cheryshev,"LW, ST, LM",73,2400000.0,5000.0,32,Venezia,Serie B
G. Busio,Gianluca Cristiano Busio,"CM, CDM",72,5000000.0,3000.0,21,Venezia,Serie B
J. Joronen,Jesse Pekka Joronen,GK,72,1600000.0,3000.0,30,Venezia,Serie B
F. Zampano,Francesco Filippo Zampano,"LB, RWB, LWB",72,2100000.0,4000.0,29,Venezia,Serie B
M. Jajalo,Mato Jajalo,"CDM, CM",71,525000.0,2000.0,35,Venezia,Serie B
G. Altare,Giorgio Altare,CB,70,2200000.0,11000.0,24,Venezia,Serie B
D. Johnsen,Dennis Tørset Johnsen,"ST, LW, RW",70,2000000.0,3000.0,25,Venezia,Serie B
A. Candela,Antonio Candela,"RB, RWB",69,3000000.0,2000.0,23,Venezia,Serie B
C. Gytkjær,Christian Lund Gytkjær,ST,69,900000.0,3000.0,33,Venezia,Serie B
T. Tessmann,Tanner Tessmann,"CDM, CM",68,2800000.0,1000.0,21,Venezia,Serie B
M. Andersen,Magnus Kofod Andersen,"CM, CDM",68,1900000.0,2000.0,24,Venezia,Serie B
M. Svoboda,Michael Svoboda,CB,68,1700000.0,2000.0,24,Venezia,Serie B
M. Ullmann,Maximilian Ullmann,"LB, LWB, LM",68,1300000.0,2000.0,27,Venezia,Serie B
J. Idzes,Jay Idzes,"CB, CDM",67,1500000.0,1000.0,23,Venezia,Serie B
M. Modolo,Marco Modolo,CB,67,325000.0,2000.0,34,Venezia,Serie B
N. Lella,Nunzio Lella,"CM, LM",66,1400000.0,1000.0,22,Venezia,Serie B
M. Ellertsson,Mikael Egill Ellertsson,"CM, RM",65,1800000.0,950.0,21,Venezia,Serie B
M. Šverko,Marin Šverko,CB,65,1000000.0,1000.0,25,Venezia,Serie B
M. Olivieri,Marco Olivieri,"ST, RW, LW",64,1200000.0,1000.0,24,Venezia,Serie B
N. Pierini,Nicholas Pierini,"ST, LW",64,900000.0,1000.0,24,Venezia,Serie B
B. Bjarkason,Bjarki Steinn Bjarkason,"LW, RW, CM",62,875000.0,900.0,23,Venezia,Serie B
M. Grandi,Matteo Grandi,GK,61,220000.0,650.0,30,Venezia,Serie B
Bruno Bertinato,Bruno Oliveira Bertinato,GK,60,300000.0,550.0,25,Venezia,Serie B
A. Dembélé,Ali Bina Dembélé,"RB, CB, RWB",59,500000.0,3000.0,19,Venezia,Serie B
H. Mikaelsson,Hilmir Rafn Mikaelsson,ST,57,400000.0,550.0,19,Venezia,Serie B
J. Enem,Jay Enem,ST,56,325000.0,650.0,20,Venezia,Serie B
