short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
T. Paetow,Torge Paetow,CB,67,1100000.0,1000.0,27,Verl,3. Liga
M. Corboz,Mael Corboz,"CM, CDM",66,850000.0,950.0,28,Verl,3. Liga
M. Mehlem,Marcel Mehlem,"CM, CDM, CAM",66,850000.0,950.0,28,Verl,3. Liga
D. Mikić,Daniel Mikić,CB,66,700000.0,850.0,30,Verl,3. Liga
M. Wolfram,Maximilian Wolfram,"ST, RW, LW",65,850000.0,900.0,26,Verl,3. Liga
L. Lokotsch,Lars Lokotsch,ST,65,825000.0,900.0,27,Verl,3. Liga
L. Unbehaun,Luca Unbehaun,GK,64,1100000.0,500.0,22,Verl,3. Liga
T. Baack,Tom Baack,"CM, CDM, CB",64,1200000.0,650.0,24,Verl,3. Liga
N. Ochojski,Nico Ochojski,RB,64,1100000.0,550.0,24,Verl,3. Liga
N. Sessa,Nicolás Sessa,"CAM, CM, ST",64,675000.0,750.0,27,Verl,3. Liga
O. Batista Meier,Oliver Batista Meier,"CAM, LW, ST",63,1100000.0,2000.0,22,Verl,3. Liga
Y. Otto,Yari Otto,"ST, CAM",63,975000.0,650.0,24,Verl,3. Liga
T. Knost,Tobias-Mbunjiro Knost,"RB, CB",63,700000.0,500.0,23,Verl,3. Liga
M. Stöcker,Michel Stöcker,"LB, CB",63,700000.0,500.0,24,Verl,3. Liga
T. Müller,Tom Müller,GK,63,525000.0,500.0,25,Verl,3. Liga
P. Kammerbauer,Patrick Kammerbauer,"CM, CDM, CAM",63,625000.0,650.0,26,Verl,3. Liga
J. Wosz,Joscha Wosz,"CM, RW",62,875000.0,500.0,20,Verl,3. Liga
B. Pernot,Barne Pernot,CB,61,675000.0,500.0,24,Verl,3. Liga
M. Benger,Marcel Benger,"CDM, CM",61,425000.0,500.0,24,Verl,3. Liga
R. Friedrich,Robin Friedrich,"ST, CAM",60,550000.0,500.0,20,Verl,3. Liga
F. Gruber,Fabio Gruber,"CB, RB",60,500000.0,500.0,20,Verl,3. Liga
N. Otto,Nick Otto,CB,59,425000.0,500.0,24,Verl,3. Liga
H. Mittelstädt,Hendrik Mittelstädt,"ST, RW, LW",57,250000.0,500.0,23,Verl,3. Liga
S. Kubovic,Sinisha Kubovic,LW,55,300000.0,500.0,18,Verl,3. Liga
L. Nübel,Leon Nübel,GK,54,200000.0,500.0,19,Verl,3. Liga
G. Guzy,Gideon Guzy,LB,54,230000.0,500.0,20,Verl,3. Liga
F. Pekruhl,Fabian Pekruhl,GK,53,110000.0,500.0,24,Verl,3. Liga
