short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Behrens,Hanno Behrens,"CM, CAM",67,625000.0,2000.0,33,VfB Lübeck,3. Liga
P. Breier,Pascal Breier,"LM, ST",66,700000.0,1000.0,31,VfB Lübeck,3. Liga
P. Klewin,Philipp Mickel Klewin,GK,66,575000.0,1000.0,29,VfB Lübeck,3. Liga
T. Grupe,Tommy Grupe,"CB, CDM",65,500000.0,1000.0,31,VfB Lübeck,3. Liga
U. Taffertshofer,Ulrich Taffertshofer,"CDM, CM",65,500000.0,1000.0,31,VfB Lübeck,3. Liga
M. Hauptmann,Marius Hauptmann,"RM, RB",64,925000.0,950.0,23,VfB Lübeck,3. Liga
F. Egerer,Florian Egerer,CDM,64,750000.0,950.0,25,VfB Lübeck,3. Liga
F. Drinkuth,Felix Werner Wolfgang Drinkuth,"LM, ST, CAM",64,600000.0,1000.0,28,VfB Lübeck,3. Liga
C. Akono,Cyrill Akono,"ST, CF, LM",63,1100000.0,950.0,23,VfB Lübeck,3. Liga
R. Kölle,Robin Kölle,RB,63,700000.0,750.0,22,VfB Lübeck,3. Liga
S. Reddemann,Sören-Kurt Reddemann,CB,63,550000.0,900.0,27,VfB Lübeck,3. Liga
M. Boland,Mirko Boland,"CDM, CM",63,90000.0,650.0,36,VfB Lübeck,3. Liga
J. Sternberg,Janek Sternberg,"LB, LM",63,425000.0,900.0,30,VfB Lübeck,3. Liga
J. Löhden,Jannik Löhden,CB,63,230000.0,900.0,33,VfB Lübeck,3. Liga
M. Farrona Pulido,Manuel Farrona Pulido,"LM, RM",63,475000.0,1000.0,30,VfB Lübeck,3. Liga
M. Thiel,Marvin Thiel,LM,63,475000.0,1000.0,28,VfB Lübeck,3. Liga
N. Kastenhofer,Niklas Kastenhofer,CB,62,575000.0,700.0,24,VfB Lübeck,3. Liga
T. Gözüsirin,Tarik Gözüsirin,CM,62,600000.0,650.0,21,VfB Lübeck,3. Liga
F. Kirschke,Florian Kirschke,GK,62,210000.0,650.0,31,VfB Lübeck,3. Liga
J. Schneider,Jan-Marc Schneider,"ST, CM, LM",62,400000.0,1000.0,29,VfB Lübeck,3. Liga
M. Rüdiger,Morten Rüdiger,"LM, LB",62,400000.0,900.0,28,VfB Lübeck,3. Liga
K. Hovi,Kimmo Harkku Hovi,ST,62,400000.0,1000.0,29,VfB Lübeck,3. Liga
R. Velasco,Robin Velasco,LM,61,525000.0,600.0,21,VfB Lübeck,3. Liga
L. Sommer,Leon Sommer,RB,61,475000.0,650.0,22,VfB Lübeck,3. Liga
M. Daube,Mattis Daube,"RB, RM",60,325000.0,650.0,25,VfB Lübeck,3. Liga
M. Facklam,Mats Facklam,ST,59,275000.0,800.0,26,VfB Lübeck,3. Liga
G. Didzilatis,Gavin Didzilatis,GK,57,325000.0,500.0,21,VfB Lübeck,3. Liga
