short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Riemann,Manuel Riemann,GK,77,1800000.0,19000.0,34,VfL Bochum 1848,Bundesliga
Danilo,Danilo Teodoro Soares,LB,76,5500000.0,22000.0,31,VfL Bochum 1848,Bundesliga
A. Losilla,Anthony Losilla,"CDM, CM, CB",75,1100000.0,15000.0,37,VfL Bochum 1848,Bundesliga
K. Stöger,Kevin Stöger,"CM, CDM, CAM",75,5500000.0,24000.0,29,VfL Bochum 1848,Bundesliga
P. Hofmann,Philipp Hofmann,ST,75,5500000.0,25000.0,30,VfL Bochum 1848,Bundesliga
I. Ordets,Ivan Ordets,CB,74,3500000.0,20000.0,30,VfL Bochum 1848,Bundesliga
T. Asano,浅野 佐藤,"RM, CAM",74,4200000.0,22000.0,28,VfL Bochum 1848,Bundesliga
E. Mašović,Erhan Mašović,"CB, CDM",73,3900000.0,16000.0,24,VfL Bochum 1848,Bundesliga
Gonçalo Paciência,Gonçalo Mendes Paciência,ST,73,3100000.0,21000.0,28,VfL Bochum 1848,Bundesliga
M. Wittek,Maximilian Wittek,"LB, LM",73,2900000.0,18000.0,27,VfL Bochum 1848,Bundesliga
P. Förster,Philipp Förster,"CAM, CF, CM",73,3100000.0,21000.0,28,VfL Bochum 1848,Bundesliga
C. Antwi-Adjei,Christopher Antwi-Adjei,"LM, RM",73,3000000.0,21000.0,29,VfL Bochum 1848,Bundesliga
P. Osterhage,Patrick Osterhage,"CDM, CM",72,3400000.0,14000.0,23,VfL Bochum 1848,Bundesliga
K. Schlotterbeck,Keven Schlotterbeck,CB,72,2700000.0,18000.0,26,VfL Bochum 1848,Bundesliga
C. Gamboa,Cristian Esteban Gamboa Luna,RB,72,1200000.0,16000.0,33,VfL Bochum 1848,Bundesliga
M. Esser,Michael Esser,GK,72,250000.0,9000.0,35,VfL Bochum 1848,Bundesliga
Bernardo,Bernardo Fernandes da Silva Junior,"CB, LB",71,1900000.0,15000.0,28,VfL Bochum 1848,Bundesliga
L. Daschner,Lukas Stephan Horst Daschner,"ST, CAM, RM",70,2500000.0,13000.0,24,VfL Bochum 1848,Bundesliga
F. Passlack,Felix Passlack,"RM, RB, CM",70,2100000.0,13000.0,25,VfL Bochum 1848,Bundesliga
M. Bero,Matúš Bero,"CAM, CM",70,1700000.0,13000.0,27,VfL Bochum 1848,Bundesliga
M. Kwarteng,Moritz-Broni Kwarteng,"RM, CAM, ST",69,1700000.0,11000.0,25,VfL Bochum 1848,Bundesliga
L. Mousset,Lys Mousset,ST,68,1300000.0,11000.0,27,VfL Bochum 1848,Bundesliga
M. Broschinski,Moritz Broschinski,ST,67,2300000.0,8000.0,22,VfL Bochum 1848,Bundesliga
J. Osei-Tutu,Jordi Osei-Tutu,"RM, RB, LB",67,1600000.0,7000.0,24,VfL Bochum 1848,Bundesliga
N. Loosli,Noah Loosli,CB,67,1300000.0,8000.0,26,VfL Bochum 1848,Bundesliga
N. Thiede,Niclas Thiede,GK,66,1600000.0,4000.0,24,VfL Bochum 1848,Bundesliga
T. Oermann,Tim Oermann,CB,65,1600000.0,3000.0,19,VfL Bochum 1848,Bundesliga
M. Tolba,Mohammed Tolba,"RB, CB",62,875000.0,1000.0,18,VfL Bochum 1848,Bundesliga
M. Römling,Moritz Römling,LB,62,850000.0,3000.0,22,VfL Bochum 1848,Bundesliga
M. Pannewig,Mats Pannewig,"CM, CDM, CAM",60,625000.0,1000.0,18,VfL Bochum 1848,Bundesliga
