short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Arcus,Carlens Jean Fedlaire Ruby Arcus,RB,72,2500000.0,9000.0,27,Vitesse,Eredivisie
E. Room,Eloy Victor Room,GK,72,400000.0,8000.0,34,Vitesse,Eredivisie
M. van Ginkel,Marco van Ginkel,"CM, CDM",72,2200000.0,10000.0,30,Vitesse,Eredivisie
M. Manhoef,Million Manhoef,"RM, LM",71,4200000.0,7000.0,21,Vitesse,Eredivisie
D. Pröpper,David Petrus Wenceslaus Henri Pröpper,"CM, CDM",71,1500000.0,9000.0,31,Vitesse,Eredivisie
K. Kozłowski,Kacper Kozłowski,"LM, CAM",70,3800000.0,21000.0,19,Vitesse,Eredivisie
M. Meulensteen,Melle Meulensteen,"CDM, CB",70,2200000.0,6000.0,23,Vitesse,Eredivisie
Mica Pinto,Michael Gonçalves Pinto,LB,69,1200000.0,6000.0,30,Vitesse,Eredivisie
N. Isimat-Mirin,Nicolas Isimat-Mirin,CB,68,825000.0,5000.0,31,Vitesse,Eredivisie
A. Boutrah,Amine Boutrah,"LM, CAM",67,2300000.0,4000.0,22,Vitesse,Eredivisie
S. Hamulić,Saïd Hamulić,"ST, LM",67,2300000.0,8000.0,22,Vitesse,Eredivisie
R. Hendriks,Ramon Hendriks,"CB, LB",66,1800000.0,3000.0,21,Vitesse,Eredivisie
T. Buitink,Thomas Buitink,"ST, CAM",66,1300000.0,4000.0,23,Vitesse,Eredivisie
T. Domgjoni,Toni Domgjoni,"CM, CDM, CAM",66,1200000.0,4000.0,24,Vitesse,Eredivisie
E. Cornelisse,Enzo Cornelisse,CB,65,1500000.0,2000.0,21,Vitesse,Eredivisie
D. Oroz,Alois Dominik Oroz,CB,65,1500000.0,3000.0,22,Vitesse,Eredivisie
M. Schubert,Markus Schubert,GK,65,775000.0,2000.0,25,Vitesse,Eredivisie
M. Tielemans,Mathijs Tielemans,CM,64,1300000.0,2000.0,21,Vitesse,Eredivisie
J. Persson,Joel Voelkerling Persson,ST,63,1200000.0,3000.0,20,Vitesse,Eredivisie
F. Fofana,Fodé Fofana,ST,62,975000.0,3000.0,20,Vitesse,Eredivisie
G. Van Zwam,Giovanni Van Zwam,CB,59,550000.0,1000.0,19,Vitesse,Eredivisie
M. Jonathans,Miliano Jonathans,"RM, CAM",59,575000.0,1000.0,19,Vitesse,Eredivisie
G. de Regt,Gyan de Regt,"RM, LM",59,550000.0,2000.0,20,Vitesse,Eredivisie
M. Egbring,Mats Egbring,RB,58,525000.0,500.0,16,Vitesse,Eredivisie
J. Altena,Jordi Altena,CM,56,375000.0,1000.0,19,Vitesse,Eredivisie
T. Bramel,Tom Bramel,GK,55,350000.0,500.0,17,Vitesse,Eredivisie
