short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Samu,Fábio Samuel Amorim Silva,CM,74,4800000.0,6000.0,27,Vizela,Liga Portugal
Bruno Wilson,Bruno Ricardo Valdez Wilson,CB,73,3500000.0,5000.0,26,Vizela,Liga Portugal
Anderson Jesus,Anderson de Jesus Santos,CB,72,2200000.0,5000.0,28,Vizela,Liga Portugal
F. Buntić,Fabijan Buntić,GK,71,2200000.0,3000.0,26,Vizela,Liga Portugal
Alberto Soro,Alberto Soro Álvarez,"RM, LM, ST",70,2500000.0,10000.0,24,Vizela,Liga Portugal
J. Novillo,Joaquín Ariel Novillo,CB,69,1600000.0,6000.0,25,Vizela,Liga Portugal
M. Lacava,Matías Rafael Lacava González,"LW, LM, CAM",68,2600000.0,2000.0,20,Vizela,Liga Portugal
R. Bustamante,Rafael Guillermo Bustamante Cantillo,CAM,68,2700000.0,2000.0,23,Vizela,Liga Portugal
A. Méndez,Alexis Méndez,"CM, RW",68,2700000.0,2000.0,22,Vizela,Liga Portugal
Nuno Moreira,Nuno Gonçalo Rocha Moreira,"LW, RW",68,1800000.0,3000.0,24,Vizela,Liga Portugal
O. Rashid,Osama Jabbar Shafeeq Rashid,"CM, CDM",68,1000000.0,3000.0,31,Vizela,Liga Portugal
D. Saint-Louis,Dylan Saint-Louis,"RW, LW, LM",67,1000000.0,3000.0,28,Vizela,Liga Portugal
Matheus Pereira,Matheus Pereira de Souza,LB,66,1800000.0,2000.0,22,Vizela,Liga Portugal
Tomás Silva,Tomás Costa Silva,"RB, CM",66,1800000.0,2000.0,23,Vizela,Liga Portugal
O. Lebedenko,Orest Lebedenko,"LB, LWB",66,1600000.0,2000.0,24,Vizela,Liga Portugal
S. Essende,Samuel Essende,ST,65,1100000.0,2000.0,25,Vizela,Liga Portugal
Rodrigo Escoval,João Rodrigo Pereira Escoval,CB,65,825000.0,2000.0,26,Vizela,Liga Portugal
A. Busnić,Aleksandar Busnić,CDM,65,850000.0,2000.0,25,Vizela,Liga Portugal
Iker Unzueta,Iker Unzueta Arregui,"ST, LM",64,900000.0,2000.0,24,Vizela,Liga Portugal
F. Ruberto,Francesco Ruberto,GK,64,400000.0,1000.0,30,Vizela,Liga Portugal
Pedro Ortiz,Pedro Ortiz Bernat,"CM, CDM",62,900000.0,4000.0,22,Vizela,Liga Portugal
Jardel,Esmiraldo Sá da Silva,"ST, LM, RM",62,525000.0,1000.0,25,Vizela,Liga Portugal
H. Mrezigue,Houssem Eddine Mrezigue,CDM,61,675000.0,900.0,23,Vizela,Liga Portugal
Hugo Oliveira,Hugo da Silva Oliveira,RB,60,575000.0,700.0,21,Vizela,Liga Portugal
Diogo Nascimento,Diogo André Santos Nascimento,CM,59,500000.0,800.0,20,Vizela,Liga Portugal
N. Bursac,Nikola Bursac,GK,59,400000.0,500.0,21,Vizela,Liga Portugal
