short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Müller,Valentino Müller,"CDM, CM",68,1700000.0,4000.0,24,WSG Tirol,Bundesliga
M. Taferner,Matthäus Taferner,CM,67,1600000.0,4000.0,22,WSG Tirol,Bundesliga
S. Ogrinec,Sandi Ogrinec,"CAM, CM",67,1500000.0,4000.0,25,WSG Tirol,Bundesliga
B. Blume,Bror Emil Blume Jensen,"CM, CDM, CAM",67,825000.0,5000.0,31,WSG Tirol,Bundesliga
F. Oswald,Ferdinand Oswald,GK,67,500000.0,3000.0,32,WSG Tirol,Bundesliga
N. Prelec,Nik Prelec,ST,66,1900000.0,7000.0,22,WSG Tirol,Bundesliga
F. Bacher,Felix Bacher,"CB, RB",66,1600000.0,3000.0,23,WSG Tirol,Bundesliga
L. Sulzbacher,Lukas Sulzbacher,"CM, RWB",65,1400000.0,3000.0,23,WSG Tirol,Bundesliga
D. Gugganig,David Gugganig,CB,65,825000.0,3000.0,26,WSG Tirol,Bundesliga
J. Ertlthaler,Julius Ertlthaler,"LM, CM, CAM",65,850000.0,3000.0,26,WSG Tirol,Bundesliga
K. Schulz,Kofi Yeboah Schulz,LB,65,375000.0,3000.0,33,WSG Tirol,Bundesliga
L. Kronberger,Luca Kronberger,"LM, RM, CM",64,1300000.0,3000.0,21,WSG Tirol,Bundesliga
J. Naschberger,Johannes Naschberger,"CM, CDM, RM",64,1200000.0,3000.0,23,WSG Tirol,Bundesliga
D. Stumberger,Dominik Stumberger,"CB, LB",64,800000.0,2000.0,24,WSG Tirol,Bundesliga
O. Okungbowa,Osarenren Okungbowa,CB,64,550000.0,3000.0,29,WSG Tirol,Bundesliga
B. Ozegovic,Benjamin Ozegovic,GK,63,825000.0,2000.0,23,WSG Tirol,Bundesliga
A. Ranacher,Alexander Ranacher,"RB, RM",63,650000.0,2000.0,24,WSG Tirol,Bundesliga
A. Stejskal,Adam Stejskal,GK,62,850000.0,1000.0,21,WSG Tirol,Bundesliga
S. Škrbo,Stefan Škrbo,LM,62,800000.0,2000.0,22,WSG Tirol,Bundesliga
D. Tomic,Denis Tomic,"LM, RM",61,425000.0,2000.0,25,WSG Tirol,Bundesliga
A. Buksa,Aleksander Buksa,ST,60,650000.0,3000.0,20,WSG Tirol,Bundesliga
M. Diarra,Mahamadou Diarra,ST,58,475000.0,1000.0,19,WSG Tirol,Bundesliga
C. Üstündag,Cem Üstündag,"CM, CDM",58,450000.0,2000.0,22,WSG Tirol,Bundesliga
P. Schermer,Paul Schermer,GK,57,350000.0,600.0,19,WSG Tirol,Bundesliga
J. Forst,Justin Forst,ST,57,400000.0,2000.0,20,WSG Tirol,Bundesliga
D. Jaunegg,David Jaunegg,RB,57,375000.0,1000.0,20,WSG Tirol,Bundesliga
Y. Vötter,Yannick Vötter,ST,54,250000.0,800.0,18,WSG Tirol,Bundesliga
T. Geris,Thomas Geris,ST,52,190000.0,2000.0,20,WSG Tirol,Bundesliga
