short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Seegert,Marcel Seegert,CB,68,1000000.0,3000.0,29,Waldhof Mannheim,3. Liga
K. Arase,Kelvin Arase,"RM, LM, ST",67,1500000.0,2000.0,24,Waldhof Mannheim,3. Liga
F. Wagner,Fridolin Wagner,"CDM, CM",67,1300000.0,2000.0,25,Waldhof Mannheim,3. Liga
L. Jans,Laurent Jans,"RB, LB",67,875000.0,2000.0,30,Waldhof Mannheim,3. Liga
B. Bahn,Bentley Baxter Bahn,"CM, CAM, CDM",66,825000.0,2000.0,30,Waldhof Mannheim,3. Liga
J. Bartels,Jan-Christoph Bartels,GK,65,1200000.0,1000.0,24,Waldhof Mannheim,3. Liga
B. Taz,Berkan Taz,"CAM, CF, LM",65,1100000.0,1000.0,24,Waldhof Mannheim,3. Liga
J. Carls,Jonas Benedikt Carls,"LB, LM",65,775000.0,2000.0,26,Waldhof Mannheim,3. Liga
J. Riedel,Julian Riedel,"CB, RB",65,500000.0,2000.0,31,Waldhof Mannheim,3. Liga
T. Sechelmann,Tim Sechelmann,CB,64,850000.0,1000.0,24,Waldhof Mannheim,3. Liga
M. Gouras,Minos Gouras,"LM, ST",64,775000.0,1000.0,25,Waldhof Mannheim,3. Liga
P. Sohm,Pascal Sohm,ST,64,500000.0,2000.0,31,Waldhof Mannheim,3. Liga
A. Gattermayer,Angelo Gattermayer,"RM, LM",63,1100000.0,1000.0,21,Waldhof Mannheim,3. Liga
J. Rieckmann,Julian Rieckmann,"CDM, CM",63,925000.0,1000.0,22,Waldhof Mannheim,3. Liga
J. Hawkins,Jalen Hawkins,"RM, LM, CAM",62,975000.0,1000.0,22,Waldhof Mannheim,3. Liga
C. Herrmann,Charles-Jesaja Herrmann,ST,62,900000.0,1000.0,23,Waldhof Mannheim,3. Liga
S. Abifade,Samuel Abifade,"LM, RM, ST",62,625000.0,1000.0,23,Waldhof Mannheim,3. Liga
M. Karbstein,Malte Karbstein,CB,62,525000.0,1000.0,25,Waldhof Mannheim,3. Liga
P. Lockl,Per Lockl,"CDM, CM",61,625000.0,850.0,22,Waldhof Mannheim,3. Liga
Y. Mabella,Yann Mabella,"ST, LM, RM",61,350000.0,1000.0,27,Waldhof Mannheim,3. Liga
L. Hawryluk,Lucien Hawryluk,GK,58,350000.0,650.0,22,Waldhof Mannheim,3. Liga
M. Zok,Malwin Zok,GK,56,300000.0,500.0,19,Waldhof Mannheim,3. Liga
J. Albenas,Jonas Albenas,"CB, RB",56,300000.0,700.0,20,Waldhof Mannheim,3. Liga
L. Bolay,Luca Bolay,"LB, LM",55,275000.0,600.0,20,Waldhof Mannheim,3. Liga
K. Okpala,Kennedy Okpala,"ST, RM",53,240000.0,500.0,18,Waldhof Mannheim,3. Liga
