short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
P. Farquharson,Priestley Tyler Farquharson,CB,65,775000.0,4000.0,26,Walsall,League Two
D. Daniels,Donervon Joseph Daniels,CB,65,600000.0,4000.0,29,Walsall,League Two
C. Hussey,Christopher Ian Hussey,"CB, LWB",64,190000.0,4000.0,34,Walsall,League Two
D. Johnson,Danny Johnson,ST,64,575000.0,5000.0,30,Walsall,League Two
T. Knowles,Thomas Andrew Knowles,"RWB, ST",63,600000.0,3000.0,24,Walsall,League Two
O. Evans,Owen Rhys Evans,GK,63,450000.0,3000.0,26,Walsall,League Two
R. Stirk,Ryan Stirk,"CDM, CM",62,550000.0,2000.0,22,Walsall,League Two
I. Hutchinson,Isaac Hutchinson,"CAM, CM",62,575000.0,3000.0,23,Walsall,League Two
J. Earing,Jack James Earing,"CDM, CM",62,475000.0,2000.0,24,Walsall,League Two
F. Draper,Freddie Draper,ST,61,775000.0,900.0,18,Walsall,League Two
R. Menayese,Rollin Menayese,CB,61,375000.0,3000.0,25,Walsall,League Two
L. Gordon,Liam Spencer Gordon,"LWB, LB",61,425000.0,2000.0,24,Walsall,League Two
J. Matt,Jamille Antonio Matt,ST,61,210000.0,3000.0,33,Walsall,League Two
B. Comley,Brandon Comley,"CDM, CM",61,300000.0,3000.0,27,Walsall,League Two
J. Riley,Joe Riley,"RWB, RB",61,325000.0,3000.0,26,Walsall,League Two
R. Tierney,Ross Tierney,"CAM, CM",60,500000.0,1000.0,22,Walsall,League Two
A. Oteh,Aramide Oteh,"ST, LM",60,350000.0,3000.0,24,Walsall,League Two
O. McEntee,Oisín McEntee,"CB, CDM",59,325000.0,2000.0,22,Walsall,League Two
T. Allen,Taylor Ellis Allen,LWB,59,275000.0,2000.0,23,Walsall,League Two
H. Griffiths,Harvey Griffiths,"CDM, CM",58,500000.0,4000.0,19,Walsall,League Two
D. Okagbue,David Okagbue,CB,56,325000.0,2000.0,19,Walsall,League Two
H. Williams,Harry Williams,CB,56,300000.0,2000.0,20,Walsall,League Two
J. Foulkes,Joe Foulkes,"RWB, CB",56,275000.0,2000.0,20,Walsall,League Two
D. James-Taylor,Douglas James-Taylor,ST,56,300000.0,2000.0,21,Walsall,League Two
J. Smith,Jackson Smith,GK,56,180000.0,1000.0,21,Walsall,League Two
