short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Szymonowicz,Dawid Szymonowicz,CB,68,1300000.0,2000.0,27,Warta Poznań,Ekstraklasa
D. Stavropoulos,Dimitrios Stavropoulos,CB,67,1300000.0,2000.0,26,Warta Poznań,Ekstraklasa
A. Zreľák,Adam Zreľák,ST,67,1000000.0,2000.0,29,Warta Poznań,Ekstraklasa
K. Szmyt,Kajetan Szmyt,"RM, CF",65,1600000.0,950.0,21,Warta Poznań,Ekstraklasa
Miguel Luís,Miguel Mariz Luís,"CM, CF",65,1000000.0,1000.0,24,Warta Poznań,Ekstraklasa
D. Vizinger,Dario Vizinger,ST,65,1000000.0,1000.0,25,Warta Poznań,Ekstraklasa
B. Țîru,Bogdan Ionuț Țîru,CB,65,650000.0,1000.0,29,Warta Poznań,Ekstraklasa
J. Bartkowski,Jakub Bartkowski,"RWB, RB",65,525000.0,1000.0,31,Warta Poznań,Ekstraklasa
M. Kopczyński,Michał Kopczyński,CM,65,575000.0,1000.0,31,Warta Poznań,Ekstraklasa
A. Lis,Adrian Lis,GK,65,375000.0,950.0,31,Warta Poznań,Ekstraklasa
J. Kiełb,Jakub Kiełb,"LWB, LM, CF",65,625000.0,1000.0,29,Warta Poznań,Ekstraklasa
F. Borowski,Filip Borowski,RWB,64,1300000.0,1000.0,19,Warta Poznań,Ekstraklasa
N. Mäenpää,Niilo Mäenpää,"CM, CF",64,775000.0,1000.0,25,Warta Poznań,Ekstraklasa
S. Savić,Stefan Savić,"LM, CF, RM",64,575000.0,1000.0,29,Warta Poznań,Ekstraklasa
M. Kupczak,Mateusz Kupczak,"CDM, CM, CB",64,400000.0,1000.0,31,Warta Poznań,Ekstraklasa
K. Matuszewski,Konrad Matuszewski,"LWB, LM",63,1000000.0,650.0,21,Warta Poznań,Ekstraklasa
M. Żurawski,Maciej Żurawski,"CAM, CM, CF",63,975000.0,900.0,22,Warta Poznań,Ekstraklasa
W. Pleśnierowicz,Wiktor Marek Pleśnierowicz,CB,61,700000.0,650.0,22,Warta Poznań,Ekstraklasa
J. Grobelny,Jędrzej Grobelny,GK,61,650000.0,500.0,22,Warta Poznań,Ekstraklasa
O. Krzyżak,Oskar Krzyżak,CB,59,525000.0,1000.0,21,Warta Poznań,Ekstraklasa
J. Wajman,Jakub Wajman,LM,57,400000.0,500.0,17,Warta Poznań,Ekstraklasa
K. Przybyłko,Kacper Przybyłko,CB,57,325000.0,500.0,18,Warta Poznań,Ekstraklasa
M. Lechowicz,Mateusz Lechowicz,"CB, CDM",54,325000.0,500.0,17,Warta Poznań,Ekstraklasa
W. Kamiński,Wiktor Kamiński,ST,54,250000.0,500.0,19,Warta Poznań,Ekstraklasa
M. Kustosz,Mateusz Kustosz,GK,53,180000.0,500.0,20,Warta Poznań,Ekstraklasa
J. Paszkowski,Jakub Paszkowski,"CM, CDM",52,200000.0,500.0,16,Warta Poznań,Ekstraklasa
