short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
W. Hoedt,Wesley Theodorus Hoedt,CB,74,3500000.0,29000.0,29,Watford,Championship
I. Louza,Imrân Louza,"CM, CDM",73,4100000.0,24000.0,24,Watford,Championship
R. Healey,Rhys James Evitt-Healey,ST,73,3100000.0,31000.0,28,Watford,Championship
F. Sierralta,Francisco Andrés Sierralta Carvallo,"CB, CDM",72,2900000.0,22000.0,26,Watford,Championship
T. Ince,Thomas Ince,"RM, CM, ST",72,1900000.0,24000.0,31,Watford,Championship
D. Bachmann,Daniel Bachmann,GK,72,1700000.0,19000.0,28,Watford,Championship
J. Lewis,Jamal Lewis,LB,71,2400000.0,45000.0,25,Watford,Championship
R. Porteous,Ryan Porteous,CB,71,2400000.0,17000.0,24,Watford,Championship
E. Kayembe,Edo Kayembe,"CDM, CM",71,2100000.0,19000.0,25,Watford,Championship
J. Ngakia,Jeremy Ngakia,"RB, RWB",70,3400000.0,15000.0,22,Watford,Championship
V. Bayo,Vakoun Issouf Bayo,ST,70,2000000.0,20000.0,26,Watford,Championship
K. Sema,Ken Nlata Sema,"LM, LW",70,1600000.0,20000.0,29,Watford,Championship
G. Chakvetadze,Giorgi Chakvetadze,"CAM, LM, CM",69,2200000.0,9000.0,23,Watford,Championship
J. Livermore,Jake Livermore,"CDM, CM",69,700000.0,15000.0,33,Watford,Championship
Matheus Martins,Matheus Martins Silva dos Santos,"RM, RW",67,2600000.0,3000.0,19,Watford,Championship
I. Koné,Ismaël Koné,CM,67,2500000.0,9000.0,21,Watford,Championship
M. Pollock,Matthew Pollock,CB,67,2100000.0,8000.0,21,Watford,Championship
T. Dele-Bashiru,Ayotomiwa Dele-Bashiru,"RM, CM, LM",67,1500000.0,10000.0,23,Watford,Championship
Y. Asprilla,Yáser Asprilla Martínez,"CAM, CM",66,2000000.0,6000.0,19,Watford,Championship
B. Hamer,Ben Hamer,GK,66,90000.0,5000.0,35,Watford,Championship
M. Rajović,Mileta Rajović,ST,65,1400000.0,8000.0,23,Watford,Championship
J. Morris,James Morris,"LB, LWB",62,850000.0,4000.0,21,Watford,Championship
R. Andrews,Ryan Andrews,"RB, RWB",61,650000.0,1000.0,18,Watford,Championship
T. Adeyemo,Tobi Adeyemo,ST,55,350000.0,2000.0,18,Watford,Championship
M. Roberts,Myles Roberts,GK,55,275000.0,2000.0,21,Watford,Championship
A. Marriott,Alfie Marriott,GK,53,190000.0,1000.0,19,Watford,Championship
