short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Wallace,Jed Wallace,"RM, CAM",75,5500000.0,34000.0,29,West Bromwich Albion,Championship
J. Swift,John Swift,"CAM, CM",74,4200000.0,31000.0,28,West Bromwich Albion,Championship
J. Maja,Josh Maja,"ST, CAM",73,4700000.0,27000.0,24,West Bromwich Albion,Championship
O. Yokuşlu,Okay Yokuşlu,"CDM, CM",73,2600000.0,27000.0,29,West Bromwich Albion,Championship
Pipa,Gonzalo Ávila Gordón,"RWB, RB, RM",72,3200000.0,21000.0,25,West Bromwich Albion,Championship
D. Dike,Daryl Dike,ST,71,4200000.0,21000.0,23,West Bromwich Albion,Championship
J. Molumby,Jayson Patrick Molumby,"CDM, CM",71,3500000.0,17000.0,23,West Bromwich Albion,Championship
N. Chalobah,Nathaniel Chalobah,"CDM, CM",71,1800000.0,21000.0,28,West Bromwich Albion,Championship
E. Pieters,Erik Pieters,"CB, LB",71,600000.0,20000.0,34,West Bromwich Albion,Championship
C. Townsend,Conor Townsend,"LB, LWB",71,1600000.0,20000.0,30,West Bromwich Albion,Championship
A. Mowatt,Alex Mowatt,"CM, CDM",71,1900000.0,23000.0,28,West Bromwich Albion,Championship
D. Furlong,Darnell Furlong,"RB, RWB",71,1800000.0,20000.0,27,West Bromwich Albion,Championship
M. Kelly,Martin Kelly,"CB, RB",70,750000.0,17000.0,33,West Bromwich Albion,Championship
K. Bartley,Kyle Bartley,CB,70,1000000.0,17000.0,32,West Bromwich Albion,Championship
S. Ajayi,Oluwasemilogo Adesewo Ibidapo Ajayi,CB,70,1300000.0,18000.0,29,West Bromwich Albion,Championship
A. Palmer,Alex Palmer,GK,69,1500000.0,12000.0,26,West Bromwich Albion,Championship
C. Kipré,Cédric Kipré,CB,69,1700000.0,15000.0,26,West Bromwich Albion,Championship
G. Diangana,Grady Diangana,"LM, RM",69,1800000.0,15000.0,25,West Bromwich Albion,Championship
M. Phillips,Matt Phillips,"LM, RM",69,1100000.0,16000.0,32,West Bromwich Albion,Championship
B. Thomas-Asante,Brandon Michael Clarke Thomas-Asante,"ST, RM, LM",68,1900000.0,13000.0,24,West Bromwich Albion,Championship
A. Reach,Adam Michael Reach,"LB, LWB, CM",68,1000000.0,12000.0,30,West Bromwich Albion,Championship
J. Sarmiento,Jeremy Sarmiento,"RM, LM, CAM",67,2500000.0,16000.0,21,West Bromwich Albion,Championship
C. Taylor,Caleb Taylor,CB,67,2100000.0,8000.0,20,West Bromwich Albion,Championship
J. Griffiths,Joshua James Griffiths,GK,64,1100000.0,4000.0,21,West Bromwich Albion,Championship
R. Cleary,Reyes Cleary,ST,62,1000000.0,4000.0,19,West Bromwich Albion,Championship
T. Fellows,Tom Fellows,"LM, CAM",59,350000.0,4000.0,20,West Bromwich Albion,Championship
T. Cann,Ted Cann,GK,52,170000.0,3000.0,22,West Bromwich Albion,Championship
