short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Lucas Paquetá,Lucas Tolentino Coelho de Lima,"CAM, CM",81,34000000.0,78000.0,25,West Ham United,Premier League
E. Álvarez,Edson Omar Álvarez Velázquez,"CDM, CB",81,31000000.0,71000.0,25,West Ham United,Premier League
M. Kudus,Mohammed Kudus,"RW, CAM",79,35500000.0,69000.0,22,West Ham United,Premier League
K. Zouma,Kurt Happy Zouma,CB,79,17500000.0,69000.0,28,West Ham United,Premier League
N. Aguerd,Nayef Aguerd,CB,79,18500000.0,66000.0,27,West Ham United,Premier League
J. Bowen,Jarrod Bowen,"RM, RW",79,20500000.0,72000.0,26,West Ham United,Premier League
T. Souček,Tomáš Souček,"CDM, CM",79,17000000.0,69000.0,28,West Ham United,Premier League
Ł. Fabiański,Łukasz Fabiański,GK,79,1900000.0,35000.0,38,West Ham United,Premier League
K. Mavropanos,Konstantinos Mavropanos,"CB, RB",78,17500000.0,57000.0,25,West Ham United,Premier League
A. Areola,Alphonse Areola,GK,78,10500000.0,49000.0,30,West Ham United,Premier League
M. Antonio,Michail Antonio,ST,78,9000000.0,71000.0,33,West Ham United,Premier League
J. Ward-Prowse,James Ward-Prowse,CM,78,14000000.0,68000.0,28,West Ham United,Premier League
S. Benrahma,Mohamed Saïd Benrahma,"LM, CAM",78,15000000.0,66000.0,27,West Ham United,Premier League
V. Coufal,Vladimír Coufal,RB,78,12000000.0,60000.0,30,West Ham United,Premier League
A. Cresswell,Aaron Cresswell,"LB, CB",77,5500000.0,56000.0,33,West Ham United,Premier League
D. Ings,Daniel William John Ings,ST,77,10500000.0,67000.0,30,West Ham United,Premier League
Emerson,Emerson Palmieri dos Santos,LB,77,9500000.0,59000.0,28,West Ham United,Premier League
Pablo Fornals,Pablo Fornals Malla,"LM, CAM",77,11000000.0,61000.0,27,West Ham United,Premier League
T. Kehrer,Jan Thilo Kehrer,"CB, RB",76,8500000.0,52000.0,26,West Ham United,Premier League
M. Cornet,Gnaly Maxwel Cornet,"LM, CF",76,9000000.0,57000.0,26,West Ham United,Premier League
A. Ogbonna,Angelo Obinze Ogbonna,CB,76,2000000.0,38000.0,35,West Ham United,Premier League
B. Johnson,Benjamin Johnson,"RB, LB, CB",74,6000000.0,40000.0,23,West Ham United,Premier League
Luizão,Luiz Gustavo Oliveira da Silva,CB,69,2900000.0,18000.0,21,West Ham United,Premier League
C. Coventry,Conor Coventry,"CDM, CM",67,2100000.0,15000.0,23,West Ham United,Premier League
J. Anang,Joseph Tetteh Anang,GK,64,750000.0,8000.0,23,West Ham United,Premier League
S. Moore,Sean Moore,"LM, RM",61,1000000.0,1000.0,17,West Ham United,Premier League
D. Chesters,Daniel Chesters,"RM, LM",59,550000.0,7000.0,21,West Ham United,Premier League
O. Scarles,Oliver Scarles,"CDM, LB",58,600000.0,500.0,17,West Ham United,Premier League
G. Kodua,Gideon Kodua,RM,58,525000.0,3000.0,18,West Ham United,Premier League
T. Nevers,Thierry Nevers,"ST, LM",58,450000.0,8000.0,21,West Ham United,Premier League
D. Mubama,Divin Mubama,ST,57,525000.0,4000.0,18,West Ham United,Premier League
G. Earthy,George Earthy,CAM,56,325000.0,3000.0,18,West Ham United,Premier League
K. Casey,Kaelen Casey,CB,55,325000.0,2000.0,18,West Ham United,Premier League
