short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Kerk,Sebastian Kerk,"CAM, CF, LM",69,1400000.0,4000.0,29,Widzew Lodz,Ekstraklasa
B. Pawłowski,Bartłomiej Pawłowski,"LM, CF",67,975000.0,3000.0,30,Widzew Lodz,Ekstraklasa
P. Stępiński,Patryk Stępiński,"RB, CB",66,775000.0,2000.0,28,Widzew Lodz,Ekstraklasa
E. Terpiłowski,Ernest Terpiłowski,"RM, CF",65,1600000.0,1000.0,21,Widzew Lodz,Ekstraklasa
H. Ravas,Henrich Ravas,GK,65,725000.0,1000.0,25,Widzew Lodz,Ekstraklasa
M. Hanousek,Marek Hanousek,"CDM, CM",65,500000.0,2000.0,31,Widzew Lodz,Ekstraklasa
Fábio Nunes,Fábio Alexandre da Silva Nunes,"LM, LB",65,700000.0,2000.0,30,Widzew Lodz,Ekstraklasa
M. Miloš,Mato Miloš,"RM, RB, LM",65,700000.0,2000.0,30,Widzew Lodz,Ekstraklasa
Jordi Sánchez,Jordi Sánchez Ribas,ST,65,725000.0,2000.0,28,Widzew Lodz,Ekstraklasa
Juan Ibiza,Juan Fernández Blanco,CB,64,600000.0,2000.0,27,Widzew Lodz,Ekstraklasa
D. Kun,Dominik Kun,"CM, LM",64,550000.0,2000.0,30,Widzew Lodz,Ekstraklasa
P. Zieliński,Paweł Zieliński,"RB, RM",64,400000.0,2000.0,32,Widzew Lodz,Ekstraklasa
Luís Silva,Luís Marques Almeida Vieira da Silva,CB,63,1000000.0,1000.0,24,Widzew Lodz,Ekstraklasa
M. Żyro,Mateusz Żyro,"CB, RWB, RM",63,650000.0,1000.0,24,Widzew Lodz,Ekstraklasa
J. Shehu,Juljan Shehu,"CDM, CM",63,625000.0,1000.0,24,Widzew Lodz,Ekstraklasa
A. Cigaņiks,Andrejs Cigaņiks,"LB, LM",63,575000.0,1000.0,26,Widzew Lodz,Ekstraklasa
S. Szota,Serafin Szota,CB,62,825000.0,1000.0,24,Widzew Lodz,Ekstraklasa
Fran Álvarez,Francisco Javier Alvarez Rodríguez,"CM, LM",62,575000.0,1000.0,25,Widzew Lodz,Ekstraklasa
I. Rondić,Imad Rondić,ST,62,550000.0,1000.0,24,Widzew Lodz,Ekstraklasa
A. Klimek,Antoni Klimek,"LM, RM, LB",61,725000.0,950.0,20,Widzew Lodz,Ekstraklasa
D. Tkacz,Dawid Tkacz,"CAM, CM",60,575000.0,500.0,18,Widzew Lodz,Ekstraklasa
J. Szymański,Jakub Szymański,GK,58,275000.0,700.0,22,Widzew Lodz,Ekstraklasa
F. Przybułek,Filip Przybułek,CM,56,350000.0,650.0,19,Widzew Lodz,Ekstraklasa
J. Krzywański,Jan Krzywański,GK,55,240000.0,500.0,20,Widzew Lodz,Ekstraklasa
I. Dawid,Ignacy Dawid,CDM,52,160000.0,700.0,20,Widzew Lodz,Ekstraklasa
