short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Kerr,Jason Kerr,CB,69,1400000.0,6000.0,26,Wigan Athletic,League One
C. Lang,Callum Joseph Lang,"RW, ST, CAM",68,1600000.0,5000.0,24,Wigan Athletic,League One
S. Humphrys,Stephen Peter Humphrys,"ST, RW, RM",68,1500000.0,6000.0,25,Wigan Athletic,League One
K. Watts,Kelland Watts,CB,67,2100000.0,21000.0,23,Wigan Athletic,League One
C. Wyke,Charles Thomas Wyke,ST,67,1000000.0,5000.0,30,Wigan Athletic,League One
L. Shaw,Liam Darren Shaw,"CM, CDM",66,1900000.0,12000.0,22,Wigan Athletic,League One
S. Sessegnon,Zeze Steven Sessegnon,"LB, RB, LWB",66,1800000.0,3000.0,23,Wigan Athletic,League One
B. Amos,Benjamin Paul Amos,GK,66,275000.0,3000.0,33,Wigan Athletic,League One
O. Rekik,Omar Rekik,CB,65,1700000.0,13000.0,21,Wigan Athletic,League One
S. Clare,Sean James Kewku Clare,"RB, CB",65,775000.0,3000.0,26,Wigan Athletic,League One
J. Magennis,Joshua Brendan David Magennis,ST,65,575000.0,4000.0,32,Wigan Athletic,League One
T. Aasgaard,Thelo Gerard Aasgaard,"CAM, LM, CM",64,1300000.0,2000.0,21,Wigan Athletic,League One
M. Smith,Matthew Gerrard Smith,"CM, CDM",64,925000.0,3000.0,22,Wigan Athletic,League One
T. Pearce,Tom Mark Pearce,"LB, LWB",64,725000.0,3000.0,25,Wigan Athletic,League One
J. Smith,Jonathan Gary Smith,"RW, RM",64,700000.0,3000.0,25,Wigan Athletic,League One
J. Jones,Jordan Lewis Jones,"LW, LM, RM",64,600000.0,4000.0,28,Wigan Athletic,League One
C. Hughes,Charlie Hughes,CB,62,875000.0,1000.0,19,Wigan Athletic,League One
J. Balagizi,James Balagizi,"CM, CAM",61,850000.0,8000.0,19,Wigan Athletic,League One
C. McManaman,Callum Henry McManaman,"RW, RM, LM",61,250000.0,2000.0,32,Wigan Athletic,League One
S. Tickle,Sam Tickle,GK,60,475000.0,1000.0,21,Wigan Athletic,League One
L. Morrison,Liam Morrison,CB,58,450000.0,5000.0,20,Wigan Athletic,League One
J. Stones,Josh Stones,ST,58,450000.0,1000.0,19,Wigan Athletic,League One
M. Godo,Martial Godo,RM,57,350000.0,8000.0,20,Wigan Athletic,League One
B. Adeeko,Babajide Adeeko,"CM, CDM",56,300000.0,2000.0,20,Wigan Athletic,League One
S. Smith,Scott Smith,"CM, CDM",54,220000.0,2000.0,22,Wigan Athletic,League One
C. Sze,Chris Sze,"ST, CAM",52,190000.0,1000.0,19,Wigan Athletic,League One
