short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Jasic,Adis Jasic,"RWB, RB, CM",70,3300000.0,6000.0,20,Wolfsberger AC,Bundesliga
D. Baumgartner,Dominik Baumgartner,"CB, RB",70,1700000.0,8000.0,26,Wolfsberger AC,Bundesliga
S. Kennedy,Scott Fitzgerald Kennedy,CB,68,1300000.0,6000.0,26,Wolfsberger AC,Bundesliga
S. Piesinger,Simon Piesinger,CB,68,825000.0,6000.0,31,Wolfsberger AC,Bundesliga
B. Zimmermann,Bernhard Zimmermann,ST,67,2300000.0,6000.0,21,Wolfsberger AC,Bundesliga
T. Sabitzer,Thomas Sabitzer,"ST, RW, CAM",67,2100000.0,5000.0,22,Wolfsberger AC,Bundesliga
H. Bonmann,Hendrik Bonmann,GK,67,775000.0,4000.0,29,Wolfsberger AC,Bundesliga
T. Röcher,Thorsten Röcher,ST,67,825000.0,6000.0,32,Wolfsberger AC,Bundesliga
M. Leitgeb,Mario Leitgeb,"CDM, CM",67,275000.0,3000.0,35,Wolfsberger AC,Bundesliga
F. Rieder,Florian Rieder,LM,67,1100000.0,5000.0,27,Wolfsberger AC,Bundesliga
N. Veratschnig,Nikolas Veratschnig,"RWB, RB, RM",66,1800000.0,3000.0,20,Wolfsberger AC,Bundesliga
T. Ballo,Thierno Mamadou Lamarana Ballo,"CAM, RM, CM",66,1900000.0,3000.0,21,Wolfsberger AC,Bundesliga
K. Kerschbaumer,Konstantin Kerschbaumer,CM,66,700000.0,5000.0,31,Wolfsberger AC,Bundesliga
S. Altunashvili,Sandro Altunashvili,"CM, CDM, CAM",65,925000.0,4000.0,26,Wolfsberger AC,Bundesliga
M. Novak,Michael Novak,"RWB, CB",65,500000.0,3000.0,32,Wolfsberger AC,Bundesliga
E. Omić,Ervin Omić,"CDM, CM",64,1200000.0,2000.0,20,Wolfsberger AC,Bundesliga
S. Tijani,Samson Okikiola Tijani,"CDM, CM",64,1200000.0,3000.0,21,Wolfsberger AC,Bundesliga
L. Gütlbauer,Lukas Gütlbauer,GK,64,1000000.0,2000.0,22,Wolfsberger AC,Bundesliga
J. Scherzer,Jonathan Scherzer,"LWB, LB, CB",64,575000.0,3000.0,27,Wolfsberger AC,Bundesliga
K. Bukusu,Kevin Bukusu,CB,63,900000.0,2000.0,22,Wolfsberger AC,Bundesliga
A. Boakye,Augustine Boakye,"CAM, RW, LM",62,800000.0,2000.0,22,Wolfsberger AC,Bundesliga
L. Ibertsberger,Lukas Ibertsberger,"LB, LWB",61,675000.0,2000.0,19,Wolfsberger AC,Bundesliga
M. Bamba,Mohamed Bamba,ST,61,750000.0,2000.0,21,Wolfsberger AC,Bundesliga
D. Skubl,David Franz Skubl,GK,60,475000.0,1000.0,21,Wolfsberger AC,Bundesliga
P. Müller,Pascal Müller,CM,56,300000.0,2000.0,20,Wolfsberger AC,Bundesliga
