short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
José Sá,José Pedro Malheiro de Sá,GK,79,11500000.0,52000.0,30,Wolverhampton Wanderers,Premier League
Matheus Cunha,Matheus Santos Carneiro Da Cunha,"ST, CAM, LM",78,21500000.0,61000.0,24,Wolverhampton Wanderers,Premier League
Pablo Sarabia,Pablo Sarabia García,"RM, CAM",78,11500000.0,64000.0,31,Wolverhampton Wanderers,Premier League
M. Lemina,Mario René Junior Lemina,"CDM, CM",78,12000000.0,61000.0,29,Wolverhampton Wanderers,Premier League
Nélson Semedo,Nélson Cabral Semedo,"RB, RWB",78,12500000.0,61000.0,29,Wolverhampton Wanderers,Premier League
S. Bueno,Santiago Ignacio Bueno Sciutto,CB,77,14500000.0,47000.0,24,Wolverhampton Wanderers,Premier League
Pedro Neto,Pedro Lomba Neto,"LM, RW, ST",77,15000000.0,52000.0,23,Wolverhampton Wanderers,Premier League
S. Kalajdžić,Saša Kalajdžić,ST,77,13500000.0,63000.0,25,Wolverhampton Wanderers,Premier League
C. Dawson,Craig Dawson,CB,77,5000000.0,55000.0,33,Wolverhampton Wanderers,Premier League
João Gomes,João Victor Gomes da Silva,"CDM, CM",76,16000000.0,44000.0,22,Wolverhampton Wanderers,Premier League
M. Kilman,Maximilian Kilman,CB,76,9000000.0,51000.0,26,Wolverhampton Wanderers,Premier League
Jonny,Jonathan Castro Otto,"LB, LWB, RWB",76,6500000.0,54000.0,29,Wolverhampton Wanderers,Premier League
Hwang Hee Chan,황희찬 黄喜灿,"LM, ST",76,8000000.0,56000.0,27,Wolverhampton Wanderers,Premier League
R. Aït-Nouri,Rayan Aït-Nouri,"LB, LWB",75,11000000.0,42000.0,22,Wolverhampton Wanderers,Premier League
J. Bellegarde,Jean-Ricner Bellegarde,"CM, CDM",75,8000000.0,51000.0,25,Wolverhampton Wanderers,Premier League
M. Doherty,Matthew James Doherty,"RB, RWB",75,4100000.0,49000.0,31,Wolverhampton Wanderers,Premier League
Toti Gomes,Tote António Gomes,"CB, LB",74,8000000.0,39000.0,24,Wolverhampton Wanderers,Premier League
Fábio Silva,Fábio Daniel Soares Silva,ST,73,6500000.0,38000.0,20,Wolverhampton Wanderers,Premier League
D. Bentley,Daniel Bentley,GK,73,2300000.0,36000.0,29,Wolverhampton Wanderers,Premier League
Hugo Bueno,Hugo Bueno López,"LB, LWB",72,4900000.0,26000.0,20,Wolverhampton Wanderers,Premier League
T. Doyle,Thomas Glyn Doyle,"CM, CDM",69,3100000.0,32000.0,21,Wolverhampton Wanderers,Premier League
B. Traoré,Boubacar Traoré,"CDM, CM",68,2600000.0,15000.0,21,Wolverhampton Wanderers,Premier League
Bruno Jordão,Bruno André Cavaco Jordão,CM,64,925000.0,11000.0,24,Wolverhampton Wanderers,Premier League
T. King,Thomas Lloyd King,GK,64,425000.0,10000.0,28,Wolverhampton Wanderers,Premier League
E. González,Enso David Gonzalez Medina,"RM, RW",62,1100000.0,4000.0,18,Wolverhampton Wanderers,Premier League
J. Hodge,Joseph Shaun Hodge,"CM, CDM",61,775000.0,7000.0,20,Wolverhampton Wanderers,Premier League
N. Fraser,Nathan Fraser,ST,59,625000.0,4000.0,18,Wolverhampton Wanderers,Premier League
