short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. McClean,James Joseph McClean,"LWB, LM",69,500000.0,9000.0,34,Wrexham,League Two
P. Mullin,Paul Philip Mullin,ST,68,1200000.0,10000.0,28,Wrexham,League Two
G. Evans,George Evans,"CDM, CM, CB",67,975000.0,7000.0,28,Wrexham,League Two
W. Boyle,William Sam Douglas Boyle,CB,67,1000000.0,7000.0,27,Wrexham,League Two
A. Okonkwo,Arthur Okonkwo,GK,66,1700000.0,11000.0,21,Wrexham,League Two
A. Hayden,Aaron Edward-George Hayden,CB,65,775000.0,5000.0,26,Wrexham,League Two
E. O'Connell,Eoghan O'Connell,CB,65,725000.0,5000.0,27,Wrexham,League Two
S. Fletcher,Steven Fletcher,ST,65,240000.0,5000.0,36,Wrexham,League Two
E. Lee,Elliott Lee,"CAM, CM",65,725000.0,6000.0,28,Wrexham,League Two
B. Tozer,Ben Peter Anthony Tozer,CB,64,275000.0,5000.0,33,Wrexham,League Two
A. Cannon,Andy Cannon,CM,64,625000.0,5000.0,27,Wrexham,League Two
T. O'Connor,Thomas James O'Connor,"CDM, CM, CB",63,625000.0,3000.0,24,Wrexham,League Two
J. Davies,Jordan Andrew Davies,CM,63,650000.0,4000.0,24,Wrexham,League Two
L. Young,Luke Young,"CDM, CM",63,400000.0,4000.0,30,Wrexham,League Two
O. Palmer,Oliver James Palmer,ST,63,400000.0,5000.0,31,Wrexham,League Two
J. Tunnicliffe,Jordan Rhett Tunnicliffe,CB,63,400000.0,4000.0,29,Wrexham,League Two
A. Forde,Anthony Michael Forde,RWB,62,350000.0,4000.0,29,Wrexham,League Two
J. Mendy,Jacob Mendy,LWB,61,375000.0,3000.0,26,Wrexham,League Two
J. Jones,James Charles Jones,"CM, CDM",61,375000.0,4000.0,27,Wrexham,League Two
R. Lainton,Robert Paul Lainton,GK,61,110000.0,3000.0,33,Wrexham,League Two
M. Cleworth,Max Cleworth,CB,60,500000.0,2000.0,20,Wrexham,League Two
R. Barnett,Ryan Jack Barnett,RWB,60,350000.0,3000.0,23,Wrexham,League Two
M. Howard,Mark Howard,GK,60,25000.0,2000.0,36,Wrexham,League Two
L. McAlinden,Liam James McAlinden,"ST, LWB, RWB",59,220000.0,4000.0,29,Wrexham,League Two
L. McNicholas,Luke McNicholas,GK,58,350000.0,500.0,23,Wrexham,League Two
S. Dalby,Samuel George Dalby,ST,58,300000.0,3000.0,23,Wrexham,League Two
J. Bickerstaff,Jake Bickerstaff,ST,56,210000.0,3000.0,21,Wrexham,League Two
A. James,Aaron James,CB,51,130000.0,800.0,18,Wrexham,League Two
