short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Stryjek,Maksymilian Stryjek,GK,69,1300000.0,5000.0,26,Wycombe Wanderers,League One
J. Scowen,Joshua Charles Scowen,"CDM, CM",69,1200000.0,6000.0,30,Wycombe Wanderers,League One
G. McCleary,Garath James McCleary,"RM, ST, LM",68,400000.0,4000.0,36,Wycombe Wanderers,League One
R. Tafazolli,Ryan Sirous Tafazolli,CB,68,825000.0,5000.0,31,Wycombe Wanderers,League One
L. Leahy,Luke Leahy,CM,68,1200000.0,5000.0,30,Wycombe Wanderers,League One
K. Phillips,Killian Phillips,"CM, CAM",66,2100000.0,8000.0,21,Wycombe Wanderers,League One
C. Forino,Chris Forino-Joseph,CB,66,1200000.0,3000.0,23,Wycombe Wanderers,League One
J. Jacobson,Joseph Mark Jacobson,"CB, LB",66,150000.0,2000.0,36,Wycombe Wanderers,League One
R. Keogh,Richard Keogh,CB,65,130000.0,2000.0,36,Wycombe Wanderers,League One
S. Vokes,Samuel Michael Vokes,ST,65,450000.0,3000.0,33,Wycombe Wanderers,League One
J. McCarthy,Jason Sean McCarthy,"RWB, RB",64,625000.0,3000.0,27,Wycombe Wanderers,League One
J. Grimmer,Jack David Grimmer,"CB, RWB, RB",64,500000.0,3000.0,29,Wycombe Wanderers,League One
D. Wheeler,David John Wheeler,"CM, RM",64,450000.0,3000.0,32,Wycombe Wanderers,League One
D. Taylor,Dale Taylor,ST,63,1100000.0,8000.0,19,Wycombe Wanderers,League One
B. Hanlan,Brandon Alex Graham Hanlan,ST,63,600000.0,3000.0,26,Wycombe Wanderers,League One
K. Vincent-Young,Kane Benjamin Vincent-Young,"RWB, RB, LWB",63,500000.0,2000.0,27,Wycombe Wanderers,League One
K. Sadlier,Kieran Paul Sadlier,"LM, RWB",63,475000.0,3000.0,28,Wycombe Wanderers,League One
K. Breckin,Kian Breckin,CM,61,850000.0,9000.0,19,Wycombe Wanderers,League One
H. Boyes,Harry Boyes,"LWB, LB",61,700000.0,4000.0,21,Wycombe Wanderers,League One
J. Low,Joe Low,CB,60,475000.0,1000.0,21,Wycombe Wanderers,League One
F. Potts,Freddie Potts,"CDM, CM",58,500000.0,4000.0,19,Wycombe Wanderers,League One
T. De Barr,Andre Tjay De Barr,"ST, CAM, LW",58,325000.0,2000.0,23,Wycombe Wanderers,League One
J. Pattenden,Jasper Pattenden,"CAM, CM, RWB",57,250000.0,1000.0,21,Wycombe Wanderers,League One
C. Ward,Christie Ward,"CAM, CDM, CB",55,275000.0,1000.0,19,Wycombe Wanderers,League One
L. Shala,Laurence Shala,GK,55,230000.0,500.0,18,Wycombe Wanderers,League One
D. Skura,Declan Skura,CB,52,150000.0,1000.0,21,Wycombe Wanderers,League One
