short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Dąbrowski,Damian Dąbrowski,CDM,72,2000000.0,8000.0,30,Zagłębie Lubin,Ekstraklasa
S. Dioudis,Sokratis Dioudis,GK,72,1600000.0,7000.0,30,Zagłębie Lubin,Ekstraklasa
M. Kirkeskov,Mikkel Kirkeskov Andersen,"LB, LM",68,875000.0,5000.0,31,Zagłębie Lubin,Ekstraklasa
S. Buletsa,Sergiy Buletsa,"CAM, LM",67,1600000.0,500.0,24,Zagłębie Lubin,Ekstraklasa
Juan Muñoz,Juan Muñoz Muñoz,"ST, CAM, CM",67,1200000.0,5000.0,27,Zagłębie Lubin,Ekstraklasa
B. Kopacz,Bartosz Kopacz,"CB, RB",67,700000.0,4000.0,31,Zagłębie Lubin,Ekstraklasa
D. Bohar,Damjan Bohar,LM,67,850000.0,4000.0,31,Zagłębie Lubin,Ekstraklasa
K. Chodyna,Kacper Chodyna,"RM, RB",66,1400000.0,3000.0,24,Zagłębie Lubin,Ekstraklasa
Luís Mata,Luís Carlos Machado Mata,LB,66,1000000.0,3000.0,25,Zagłębie Lubin,Ekstraklasa
M. Wdowiak,Mateusz Wdowiak,"CF, RM",66,1000000.0,4000.0,26,Zagłębie Lubin,Ekstraklasa
T. Makowski,Tomasz Makowski,"CDM, CM",65,1500000.0,2000.0,23,Zagłębie Lubin,Ekstraklasa
A. Ławniczak,Aleks Ławniczak,CB,65,1500000.0,2000.0,24,Zagłębie Lubin,Ekstraklasa
D. Kurminowski,Dawid Kurminowski,ST,65,1400000.0,3000.0,24,Zagłębie Lubin,Ekstraklasa
K. Kruk,Kamil Kruk,CB,65,1300000.0,2000.0,23,Zagłębie Lubin,Ekstraklasa
J. Jach,Jarosław Przemysław Jach,CB,65,650000.0,3000.0,29,Zagłębie Lubin,Ekstraklasa
M. Grzybek,Mateusz Grzybek,"LB, RB, RM",65,750000.0,3000.0,27,Zagłębie Lubin,Ekstraklasa
M. Nalepa,Michał Nalepa,CB,64,475000.0,2000.0,30,Zagłębie Lubin,Ekstraklasa
M. Poletanović,Marko Poletanović,"CM, CDM",64,575000.0,3000.0,29,Zagłębie Lubin,Ekstraklasa
T. Pieńko,Tomasz Pieńko,"CAM, LM, ST",63,1100000.0,1000.0,19,Zagłębie Lubin,Ekstraklasa
B. Kłudka,Bartłomiej Kłudka,RB,63,1100000.0,2000.0,21,Zagłębie Lubin,Ekstraklasa
M. Mróz,Marek Mróz,CAM,63,700000.0,2000.0,24,Zagłębie Lubin,Ekstraklasa
T. Gaprindashvili,Tornike Gaprindashvili,"RM, LM",63,575000.0,2000.0,25,Zagłębie Lubin,Ekstraklasa
J. Burić,Jasmin Burić,GK,63,50000.0,1000.0,36,Zagłębie Lubin,Ekstraklasa
A. Woźniak,Arkadiusz Woźniak,"RM, RB, LB",62,250000.0,2000.0,33,Zagłębie Lubin,Ekstraklasa
R. Adamski,Rafał Adamski,ST,61,800000.0,2000.0,21,Zagłębie Lubin,Ekstraklasa
S. Weirauch,Szymon Weirauch,GK,58,475000.0,550.0,19,Zagłębie Lubin,Ekstraklasa
F. Kocaba,Filip Kocaba,CDM,55,300000.0,500.0,18,Zagłębie Lubin,Ekstraklasa
I. Orlikowski,Igor Orlikowski,"RB, CB",53,275000.0,500.0,17,Zagłębie Lubin,Ekstraklasa
