short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Léo Duarte,Leonardo Duarte da Silva,CB,75,6500000.0,22000.0,26,İstanbul Başakşehir,Super Lig
M. Abeid,Mehdi Abeid,"CDM, CM",73,2500000.0,19000.0,30,İstanbul Başakşehir,Super Lig
D. Türüç,Deniz Türüç,"RM, LM",73,2900000.0,20000.0,30,İstanbul Başakşehir,Super Lig
K. Piątek,Krzysztof Piątek,ST,73,3100000.0,23000.0,28,İstanbul Başakşehir,Super Lig
B. Özcan,Berkay Özcan,"CM, CAM, LM",72,3100000.0,17000.0,25,İstanbul Başakşehir,Super Lig
O. Ba,Ousseynou Ba,CB,72,2700000.0,16000.0,27,İstanbul Başakşehir,Super Lig
D. Aleksić,Danijel Aleksić,"CM, CAM",72,1800000.0,18000.0,32,İstanbul Başakşehir,Super Lig
S. Gürler,Serdar Gürler,"LM, RM",72,1900000.0,18000.0,31,İstanbul Başakşehir,Super Lig
D. Pelkas,Dimitrios Pelkas,"CAM, LW, CF",72,2300000.0,19000.0,29,İstanbul Başakşehir,Super Lig
Edgar Ié,Edgar Miguel Ié,CB,72,2000000.0,17000.0,29,İstanbul Başakşehir,Super Lig
Lucas Lima,Lucas Pedro Alves de Lima,LB,71,1400000.0,14000.0,31,İstanbul Başakşehir,Super Lig
João Figueiredo,João Vitor Brandão Figueiredo,"ST, LM, RM",70,1900000.0,15000.0,27,İstanbul Başakşehir,Super Lig
M. Tekdemir,Mahmut Tekdemir,"CDM, CM",70,450000.0,9000.0,35,İstanbul Başakşehir,Super Lig
V. Babacan,Volkan Babacan,GK,70,275000.0,10000.0,34,İstanbul Başakşehir,Super Lig
E. Karzev,Eden Karzev,CDM,69,1900000.0,9000.0,23,İstanbul Başakşehir,Super Lig
M. Şengezer,Muhammed Şengezer,GK,68,1300000.0,7000.0,26,İstanbul Başakşehir,Super Lig
Ö. Şahiner,Ömer Ali Şahiner,"RB, RM",68,875000.0,9000.0,31,İstanbul Başakşehir,Super Lig
Ş. Özbayraklı,Şener Özbayraklı,RB,67,525000.0,8000.0,33,İstanbul Başakşehir,Super Lig
O. Ergün,Onur Ergün,"CDM, CM",67,850000.0,8000.0,30,İstanbul Başakşehir,Super Lig
P. Keny,Philippe Paulin Keny,"ST, RW",66,1700000.0,7000.0,24,İstanbul Başakşehir,Super Lig
C. Sertel,Cemali Sertel,"LB, CB",66,1200000.0,6000.0,23,İstanbul Başakşehir,Super Lig
E. İlkhan,Emirhan İlkhan,"CM, RW, CAM",64,1500000.0,5000.0,19,İstanbul Başakşehir,Super Lig
D. Dilmen,Deniz Dilmen,GK,64,1200000.0,500.0,18,İstanbul Başakşehir,Super Lig
E. Barlık,Efecan Barlık,ST,59,500000.0,3000.0,20,İstanbul Başakşehir,Super Lig
B. Çelik,Batuhan Çelik,ST,57,425000.0,2000.0,18,İstanbul Başakşehir,Super Lig
B. Aydoğmuş,Berkay Aydoğmuş,CM,56,350000.0,2000.0,19,İstanbul Başakşehir,Super Lig
