short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Dani Ramírez,Daniel Ramírez Fernández,"CAM, CM",67,850000.0,2000.0,31,ŁKS Łódź,Ekstraklasa
Nacho Monsalve,Ignacio Monsalve Vicente,"CB, RB",66,800000.0,2000.0,29,ŁKS Łódź,Ekstraklasa
Pirulo,José Antonio Ruiz López,"RM, LM",66,700000.0,2000.0,31,ŁKS Łódź,Ekstraklasa
A. Bobek,Aleksander Bobek,GK,65,1600000.0,500.0,19,ŁKS Łódź,Ekstraklasa
K. Tejan,Kay Tejan,ST,65,900000.0,2000.0,26,ŁKS Łódź,Ekstraklasa
L. Gülen,Levent Gülen,"CB, RB",65,650000.0,2000.0,29,ŁKS Łódź,Ekstraklasa
M. Flis,Marcin Flis,CB,65,650000.0,2000.0,29,ŁKS Łódź,Ekstraklasa
K. Dankowski,Kamil Dankowski,"RB, LB",65,775000.0,2000.0,26,ŁKS Łódź,Ekstraklasa
A. Małachowski,Adrian Małachowski,"CDM, CM, CB",64,775000.0,1000.0,25,ŁKS Łódź,Ekstraklasa
B. Szeliga,Bartosz Szeliga,"RM, LB, LM",64,575000.0,2000.0,30,ŁKS Łódź,Ekstraklasa
M. Mokrzycki,Michał Mokrzycki,CDM,63,875000.0,1000.0,25,ŁKS Łódź,Ekstraklasa
E. Hoti,Engjëll Hoti,"CAM, CM",63,625000.0,1000.0,26,ŁKS Łódź,Ekstraklasa
A. Marciniak,Adam Marciniak,CB,63,160000.0,1000.0,34,ŁKS Łódź,Ekstraklasa
P. Głowacki,Piotr Głowacki,"LB, LM",63,350000.0,1000.0,31,ŁKS Łódź,Ekstraklasa
D. Arndt,Dawid Arndt,GK,62,775000.0,600.0,21,ŁKS Łódź,Ekstraklasa
M. Śliwa,Maciej Śliwa,"RM, LM",62,900000.0,1000.0,22,ŁKS Łódź,Ekstraklasa
A. Louveau,Adrien Louveau,"CB, CDM",61,675000.0,900.0,23,ŁKS Łódź,Ekstraklasa
A. Fase,Anton Fase,"RW, ST",61,725000.0,1000.0,23,ŁKS Łódź,Ekstraklasa
A. Tutyškinas,Artemijus Tutyškinas,LB,61,600000.0,550.0,19,ŁKS Łódź,Ekstraklasa
M. Lorenc,Mieszko Lorenc,CDM,60,350000.0,700.0,21,ŁKS Łódź,Ekstraklasa
J. Letniowski,Jakub Letniowski,CDM,59,325000.0,800.0,22,ŁKS Łódź,Ekstraklasa
S. Jurić,Stipe Jurić,ST,59,325000.0,1000.0,24,ŁKS Łódź,Ekstraklasa
P. Janczukowicz,Piotr Janczukowicz,ST,59,325000.0,1000.0,23,ŁKS Łódź,Ekstraklasa
M. Kołba,Michał Kołba,GK,59,120000.0,800.0,31,ŁKS Łódź,Ekstraklasa
R. Gonçalves,Ricardo Gonçalves,"CAM, RW",57,400000.0,600.0,19,ŁKS Łódź,Ekstraklasa
G. Glapka,Grzegorz Glapka,"RM, RB",57,350000.0,800.0,20,ŁKS Łódź,Ekstraklasa
M. Wszołek,Marcel Wszołek,"RB, CDM",56,325000.0,700.0,21,ŁKS Łódź,Ekstraklasa
J. Łabędzki,Jan Łabędzki,CM,53,300000.0,500.0,17,ŁKS Łódź,Ekstraklasa
