short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Erik Expósito,Erik Alexander Expósito Hernández,ST,67,1200000.0,4000.0,27,Śląsk Wrocław,Ekstraklasa
K. Zohore,Kenneth Dahrup Zohorè,ST,67,1000000.0,4000.0,29,Śląsk Wrocław,Ekstraklasa
P. Schwarz,Petr Schwarz,"CM, CDM",66,700000.0,3000.0,31,Śląsk Wrocław,Ekstraklasa
Ł. Bejger,Łukasz Bejger,CB,65,1700000.0,2000.0,21,Śląsk Wrocław,Ekstraklasa
P. Pokorný,Peter Pokorný,"CDM, CM",65,1500000.0,2000.0,21,Śląsk Wrocław,Ekstraklasa
N. Leiva,Matías Nahuel Leiva Esquivel,"CM, CAM, CF",65,925000.0,3000.0,26,Śląsk Wrocław,Ekstraklasa
M. Konczkowski,Martin Konczkowski,"RB, RM",65,625000.0,2000.0,29,Śląsk Wrocław,Ekstraklasa
P. Olsen,Patrick Haakon Olsen,"CM, CDM",65,700000.0,3000.0,29,Śląsk Wrocław,Ekstraklasa
A. Paluszek,Aleksander Paluszek,CB,64,1100000.0,2000.0,22,Śląsk Wrocław,Ekstraklasa
K. Poprawa,Konrad Poprawa,CB,64,775000.0,2000.0,25,Śląsk Wrocław,Ekstraklasa
P. Janasik,Patryk Janasik,"LB, RB",64,725000.0,2000.0,25,Śląsk Wrocław,Ekstraklasa
M. Rzuchowski,Michał Rzuchowski,"CDM, CM",64,500000.0,2000.0,29,Śląsk Wrocław,Ekstraklasa
R. Leszczyński,Rafał Leszczyński,GK,64,300000.0,2000.0,31,Śląsk Wrocław,Ekstraklasa
K. Trelowski,Kacper Trelowski,GK,63,1000000.0,700.0,19,Śląsk Wrocław,Ekstraklasa
P. Samiec-Talar,Piotr Samiec-Talar,"RM, CF",63,1200000.0,2000.0,21,Śląsk Wrocław,Ekstraklasa
M. Żukowski,Mateusz Żukowski,"RB, LM",63,1000000.0,1000.0,21,Śląsk Wrocław,Ekstraklasa
A. Petkov,Aleks Petkov,CB,63,1000000.0,2000.0,23,Śląsk Wrocław,Ekstraklasa
S. Lewkot,Szymon Lewkot,"CDM, CB",63,700000.0,2000.0,24,Śląsk Wrocław,Ekstraklasa
B. İnce,Burak İnce,CAM,62,1000000.0,1000.0,19,Śląsk Wrocław,Ekstraklasa
M. Zylla,Marcel Zylla,"CAM, LM, RM",62,800000.0,2000.0,23,Śląsk Wrocław,Ekstraklasa
C. Borthwick-Jackson,Cameron Jake Borthwick-Jackson,"LB, LWB",62,425000.0,2000.0,26,Śląsk Wrocław,Ekstraklasa
P. Szwedzik,Patryk Szwedzik,"ST, CF",61,750000.0,1000.0,21,Śląsk Wrocław,Ekstraklasa
M. Górski,Mateusz Górski,GK,58,400000.0,950.0,23,Śląsk Wrocław,Ekstraklasa
Y. Matsenko,Yegor Matsenko,"CB, CDM",57,375000.0,1000.0,21,Śląsk Wrocław,Ekstraklasa
B. Głogowski,Bartosz Głogowski,GK,55,275000.0,500.0,17,Śląsk Wrocław,Ekstraklasa
J. Lutostański,Jakub Lutostański,ST,55,325000.0,600.0,18,Śląsk Wrocław,Ekstraklasa
M. Kurowski,Miłosz Kurowski,CAM,54,275000.0,500.0,18,Śląsk Wrocław,Ekstraklasa
K. Kurowski,Krzysztof Kurowski,LB,54,250000.0,500.0,16,Śląsk Wrocław,Ekstraklasa
