short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,181500000.0,230000.0,24,Paris Saint Germain,Ligue 1
E. Haaland,Erling Braut Haaland,ST,91,185000000.0,340000.0,22,Manchester City,Premier League
K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,103000000.0,350000.0,32,Manchester City,Premier League
L. Messi,Lionel Andrés Messi Cuccittini,"CF, CAM",90,41000000.0,23000.0,36,Inter Miami,Major League Soccer
K. Benzema,Karim Benzema,"CF, ST",90,51000000.0,95000.0,35,Al Ittihad,Pro League
R. Lewandowski,Robert Lewandowski,ST,90,58000000.0,340000.0,34,FC Barcelona,La Liga
T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,63000000.0,250000.0,31,Real Madrid,La Liga
H. Kane,Harry Kane,ST,90,119500000.0,170000.0,29,FC Bayern München,Bundesliga
Vini Jr.,Vinícius José Paixão de Oliveira Júnior,LW,89,158500000.0,310000.0,22,Real Madrid,La Liga
Alisson,Alisson Ramsés Becker,GK,89,77500000.0,180000.0,30,Liverpool,Premier League
Rodri,Rodrigo Hernández Cascante,"CDM, CM",89,105500000.0,250000.0,27,Manchester City,Premier League
Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,89,106500000.0,250000.0,26,Manchester City,Premier League
Neymar Jr,Neymar da Silva Santos Júnior,LW,89,85500000.0,115000.0,31,Al Hilal,Pro League
M. ter Stegen,Marc-André ter Stegen,GK,89,54500000.0,220000.0,31,FC Barcelona,La Liga
Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,72000000.0,240000.0,31,Manchester United,Premier League
V. van Dijk,Virgil van Dijk,CB,89,70500000.0,220000.0,31,Liverpool,Premier League
M. Salah,Mohamed Salah Ghaly,RW,89,85500000.0,260000.0,31,Liverpool,Premier League
F. Valverde,Federico Santiago Valverde Dipetta,"CM, RW",88,130500000.0,270000.0,24,Real Madrid,La Liga
V. Osimhen,Victor James Osimhen,ST,88,126500000.0,120000.0,24,Napoli,Serie A
Ederson,Ederson Santana de Moraes,GK,88,70000000.0,210000.0,29,Manchester City,Premier League
J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",88,88000000.0,130000.0,28,FC Bayern München,Bundesliga
A. Griezmann,Antoine Griezmann,"ST, CF",88,74000000.0,135000.0,32,Atlético Madrid,La Liga
J. Oblak,Jan Oblak,GK,88,61000000.0,90000.0,30,Atlético Madrid,La Liga
Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",88,92000000.0,260000.0,28,Manchester United,Premier League
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CM, RW",88,91500000.0,270000.0,28,Manchester City,Premier League
M. Ødegaard,Martin Ødegaard,"CAM, CM",87,109000000.0,170000.0,24,Arsenal,Premier League
F. de Jong,Frenkie de Jong,"CM, CDM",87,103500000.0,240000.0,26,FC Barcelona,La Liga
G. Donnarumma,Gianluigi Donnarumma,GK,87,85000000.0,90000.0,24,Paris Saint Germain,Ligue 1
L. Martínez,Lautaro Javier Martínez,ST,87,107000000.0,150000.0,25,Inter,Serie A
G. Kobel,Gregor Kobel,GK,87,81500000.0,64000.0,25,Borussia Dortmund,Bundesliga
M. Maignan,Mike Maignan,GK,87,73000000.0,90000.0,27,Milan,Serie A
Marquinhos,Marcos Aoás Corrêa,CB,87,73500000.0,140000.0,29,Paris Saint Germain,Ligue 1
M. Neuer,Manuel Peter Neuer,GK,87,9000000.0,55000.0,37,FC Bayern München,Bundesliga
L. Modrić,Luka Modrić,CM,87,25000000.0,190000.0,37,Real Madrid,La Liga
H. Son,손흥민 孙兴慜,LW,87,77000000.0,170000.0,30,Tottenham Hotspur,Premier League
J. Musiala,Jamal Musiala,"CAM, CM, LM",86,134500000.0,79000.0,20,FC Bayern München,Bundesliga
K. Kvaratskhelia,Khvicha Kvaratskhelia,"LW, RW",86,109000000.0,95000.0,22,Napoli,Serie A
Pedri,Pedro González López,CM,86,105000000.0,165000.0,20,FC Barcelona,La Liga
Rafael Leão,Rafael Alexandre Conceição Leão,"LW, CF, ST",86,102500000.0,110000.0,24,Milan,Serie A
J. Bellingham,Jude Victor William Bellingham,"CM, CAM",86,100500000.0,175000.0,20,Real Madrid,La Liga
R. Araujo,Ronald Federico Araújo da Silva,"CB, RB",86,93000000.0,175000.0,24,FC Barcelona,La Liga
B. Saka,Bukayo Saka,"RW, RM",86,99000000.0,150000.0,21,Arsenal,Premier League
M. de Ligt,Matthijs de Ligt,CB,86,83000000.0,84000.0,23,FC Bayern München,Bundesliga
Éder Militão,Éder Gabriel Militão,CB,86,80000000.0,210000.0,25,Real Madrid,La Liga
S. Tonali,Sandro Tonali,"CDM, CM",86,84000000.0,140000.0,23,Newcastle United,Premier League
N. Barella,Nicolò Barella,CM,86,83500000.0,135000.0,26,Inter,Serie A
T. Alexander-Arnold,Trent Alexander-Arnold,RB,86,81000000.0,140000.0,24,Liverpool,Premier League
C. Nkunku,Christopher Nkunku,"CF, CAM, ST",86,86500000.0,185000.0,25,Chelsea,Premier League
O. Dembélé,Ousmane Dembélé,"RW, LW",86,80000000.0,150000.0,26,Paris Saint Germain,Ligue 1
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,86,23000000.0,66000.0,38,Al Nassr,Pro League
T. Kroos,Toni Kroos,"CM, CDM",86,42000000.0,240000.0,33,Real Madrid,La Liga
W. Szczęsny,Wojciech Tomasz Szczęsny,GK,86,22000000.0,125000.0,33,Juventus,Serie A
İ. Gündoğan,İlkay Gündoğan,"CM, CDM",86,53500000.0,220000.0,32,FC Barcelona,La Liga
Parejo,Daniel Parejo Muñoz,"CM, CDM",86,31500000.0,64000.0,34,Villarreal,La Liga
R. Mahrez,Riyad Mahrez,"RM, RW",86,54000000.0,72000.0,32,Al Ahli Jeddah,Pro League
S. Mané,Sadio Mané,"CF, LM, ST",86,57500000.0,87000.0,31,Al Nassr,Pro League
João Cancelo,João Pedro Cavaco Cancelo,"LB, RB",86,59500000.0,195000.0,29,FC Barcelona,La Liga
P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",86,68000000.0,130000.0,29,Roma,Serie A
N. Kanté,N'Golo Kanté,"CDM, CM",86,45000000.0,73000.0,32,Al Ittihad,Pro League
A. Robertson,Andrew Robertson,LB,86,59500000.0,170000.0,29,Liverpool,Premier League
S. Milinković-Savić,Sergej Milinković-Savić,CM,86,68000000.0,84000.0,28,Al Hilal,Pro League
Rodrygo,Rodrygo Silva de Goes,"RW, LW, ST",85,86500000.0,210000.0,22,Real Madrid,La Liga
F. Wirtz,Florian Richard Wirtz,"CAM, CM",85,83500000.0,65000.0,20,Bayer 04 Leverkusen,Bundesliga
T. Hernández,Theo Bernard François Hernández,"LB, LM",85,73500000.0,90000.0,25,Milan,Serie A
A. Bastoni,Alessandro Bastoni,CB,85,73500000.0,95000.0,24,Inter,Serie A
P. Foden,Philip Foden,"LW, RW",85,81500000.0,180000.0,23,Manchester City,Premier League
J. Koundé,Jules Koundé,"CB, RB",85,69500000.0,160000.0,24,FC Barcelona,La Liga
M. Rashford,Marcus Rashford,"LW, LM, ST",85,71500000.0,185000.0,25,Manchester United,Premier League
Diogo Jota,Diogo José Teixeira da Silva,"CF, LW",85,67500000.0,180000.0,26,Liverpool,Premier League
D. Rice,Declan Rice,"CDM, CM",85,63000000.0,130000.0,24,Arsenal,Premier League
J. Stones,John Stones,"CB, RB",85,49500000.0,180000.0,29,Manchester City,Premier League
A. Laporte,Aymeric Laporte,CB,85,49500000.0,70000.0,29,Al Nassr,Pro League
A. Onana,André Onana,GK,85,46000000.0,130000.0,27,Manchester United,Premier League
K. Trippier,Kieran Trippier,RB,85,37500000.0,150000.0,32,Newcastle United,Premier League
K. Trapp,Kevin Trapp,GK,85,26500000.0,51000.0,32,Eintracht Frankfurt,Bundesliga
C. Immobile,Ciro Immobile,ST,85,34500000.0,90000.0,33,Lazio,Serie A
Iago Aspas,Iago Aspas Juncal,ST,85,23000000.0,38000.0,35,Celta de Vigo,La Liga
K. Navas,Keylor Navas Gamboa,GK,85,6000000.0,60000.0,36,Paris Saint Germain,Ligue 1
D. Alaba,David Olatukunbo Alaba,"CB, LB",85,37000000.0,200000.0,31,Real Madrid,La Liga
